PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300f,,,,6dQc6c8h,-100|100,DeepStack,sturc.martin.2 
k,k,r200c,k,9s6dQc6cJh9hJc6h5h,200|-200,sturc.martin.2,DeepStack 
r300f,,,,8s3cTc8d,-100|100,DeepStack,sturc.martin.1 
r300c,cr900f,,,9hTh3hQsAs7s5d,-300|300,sturc.martin.1,DeepStack 
r300r900r2400f,,,,Js8s7hAd,-900|900,DeepStack,sturc.martin.3 
r300c,cr600f,,,7d8hJcKdKhQs6s,-300|300,DeepStack,sturc.martin.4 
f,,,,7d4c2s9c,50|-50,DeepStack,sturc.martin.2 
f,,,,8c9c2h7d,50|-50,sturc.martin.4,DeepStack 
cr400f,,,,9sAh6h9c,100|-100,sturc.martin.2,DeepStack 
r200f,,,,2s4h5hAd,-100|100,sturc.martin.3,DeepStack 
r300f,,,,Tc2h5s4d,-100|100,DeepStack,sturc.martin.1 
r300c,k,r600f,,6d4d3dKd4cJs5h6c,300|-300,DeepStack,sturc.martin.4 
f,,,,6dJsKd5s,50|-50,DeepStack,sturc.martin.3 
r200c,k,r500f,,6hAh8cTcAd2h4dJs,200|-200,sturc.martin.1,DeepStack 
r300f,,,,6dJs8d8c,-100|100,DeepStack,sturc.martin.2 
r200c,cr600f,,,QcJd8d9s4d5d2c,-200|200,sturc.martin.3,DeepStack 
r200c,cr600f,,,9c5cKc7dTsQcAd,-200|200,sturc.martin.2,DeepStack 
k,k,k,cr300f,7h6dAdThTd9c9sJs5h,-100|100,sturc.martin.4,DeepStack 
r300c,cr600c,cr1200f,,6dAcTc9sKh2s2d7s,-600|600,DeepStack,sturc.martin.1 
r300f,,,,Qh5sKh3s,-100|100,DeepStack,sturc.martin.2 
r300c,cr600f,,,Ad2sKh8s7hJhJc,-300|300,DeepStack,sturc.martin.3 
cr400c,k,k,r600c,As4d6sQhJd3dQd2d3s,600|-600,sturc.martin.2,DeepStack 
f,,,,AhTc4s7h,50|-50,DeepStack,sturc.martin.4 
r300f,,,,Qs9c8c7d,-100|100,sturc.martin.3,DeepStack 
r300r900f,,,,QcKs3d9d,300|-300,sturc.martin.4,DeepStack 
r300f,,,,9d4c4dQh,-100|100,sturc.martin.1,DeepStack 
r300r900c,r1800f,,,9cTcQhJd5c3c7h,900|-900,DeepStack,sturc.martin.3 
