PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
f,,,,7h9hKd4c,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Qc6s8sTd,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,Qd7sTh8h,-100|100,DeepStack,sun.kaishi.1 
r300r900c,r1800f,,,KcQcQhJc7s3hKd,900|-900,DeepStack,sun.kaishi.2 
k,cr300c,cr600f,,3s9s4s3h4c3d5cAs,-300|300,sun.kaishi.2,DeepStack 
cr300c,k,k,k,TsTh9dAs6s5sQc6d4c,300|-300,sun.kaishi.1,DeepStack 
f,,,,ThQs9h4s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Jc4h8dTd,-100|100,sun.kaishi.2,DeepStack 
f,,,,TdTs7h5c,50|-50,DeepStack,sun.kaishi.2 
f,,,,Qd7d8d4c,50|-50,DeepStack,sun.kaishi.1 
r200r600f,,,,AcAd5s6d,200|-200,sun.kaishi.2,DeepStack 
k,k,k,k,5s4d5h5d3hQsJd9d7c,-100|100,sun.kaishi.1,DeepStack 
f,,,,ThTc2c5s,50|-50,DeepStack,sun.kaishi.2 
k,k,k,k,2dTdJdTh6c3c6h7d5h,-100|100,sun.kaishi.2,DeepStack 
f,,,,QhAdTc4h,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,2sTd4s8d6s7hAc,-100|100,sun.kaishi.2,DeepStack 
f,,,,9s3c5c8h,50|-50,DeepStack,sun.kaishi.1 
r300r900c,r2700f,,,Ks9s8c8hQhKdQc,900|-900,sun.kaishi.1,DeepStack 
f,,,,6dJcJs7h,50|-50,DeepStack,sun.kaishi.2 
r200r600f,,,,8d9d7c4h,200|-200,sun.kaishi.2,DeepStack 
r300f,,,,6c9d4h4c,-100|100,DeepStack,sun.kaishi.2 
k,cr300c,cr900c,cr4500c,3d4c6hQh7s8d4d3c9h,4500|-4500,sun.kaishi.2,DeepStack 
f,,,,3dTd2sJh,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,Js6cAs6s,-100|100,sun.kaishi.1,DeepStack 
f,,,,6sKhAs7h,50|-50,DeepStack,sun.kaishi.1 
r300c,cr750f,,,Ts4sQcAc8s6h5c,-300|300,DeepStack,sun.kaishi.2 
r200f,,,,6h8cAh5h,-100|100,sun.kaishi.1,DeepStack 
k,k,r300f,,TdKc5d3hQhKd7dJd,100|-100,sun.kaishi.2,DeepStack 
f,,,,Qd2dJc5d,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,3hJhTd9d,-100|100,sun.kaishi.1,DeepStack 
f,,,,Js9cJd2s,50|-50,DeepStack,sun.kaishi.2 
f,,,,9c4h5s2d,50|-50,sun.kaishi.2,DeepStack 
f,,,,Jh6hTs7s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,9cQhKhJh,-100|100,sun.kaishi.2,DeepStack 
f,,,,Th3s4sQh,50|-50,DeepStack,sun.kaishi.1 
f,,,,2s2cKc4h,50|-50,DeepStack,sun.kaishi.2 
k,r300r900c,k,cr4500f,6s7h4d4s4c7s5hKcTd,-900|900,sun.kaishi.1,DeepStack 
r300f,,,,3hAcTc4s,-100|100,sun.kaishi.2,DeepStack 
f,,,,5h5sAc2d,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Ah7dKh2c,-100|100,sun.kaishi.2,DeepStack 
f,,,,7hTc6h7c,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,5c8cJs2s,-100|100,sun.kaishi.2,DeepStack 
f,,,,Ah6c4dJs,50|-50,DeepStack,sun.kaishi.2 
k,k,k,k,Ad8h4d9s6d5c4sQcJc,-100|100,sun.kaishi.2,DeepStack 
f,,,,3d6cQh7d,50|-50,DeepStack,sun.kaishi.1 
f,,,,2hQhJc7h,50|-50,DeepStack,sun.kaishi.2 
k,k,cr200f,,7dAh4d9h2dKc4cQs,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,9h3hAc9c,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,Kh4sAcQs,-100|100,DeepStack,sun.kaishi.2 
f,,,,6s3s7h8c,50|-50,DeepStack,sun.kaishi.1 
r300c,k,k,k,6d6h8dTs3cAh7hTh5s,-300|300,sun.kaishi.2,DeepStack 
