PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
k,k,k,cr300c,7h2h6c4s4h3s7c8d5h,-300|300,sun.kaishi.2,DeepStack 
r300f,,,,2h7s5c5h,-100|100,DeepStack,sun.kaishi.1 
k,cr300c,cr900c,k,5sKsAd8c9d2c5dQh6d,900|-900,sun.kaishi.1,DeepStack 
f,,,,4c6d4s8s,50|-50,DeepStack,sun.kaishi.2 
cr300r900r2700f,,,,QhAs9d8h,900|-900,sun.kaishi.2,DeepStack 
f,,,,Ah9s4h3h,50|-50,DeepStack,sun.kaishi.2 
cr300c,r900f,,,KcKs7c4d3dJdJh,300|-300,sun.kaishi.2,DeepStack 
f,,,,4hTd9h5c,50|-50,DeepStack,sun.kaishi.1 
f,,,,QcThJd2h,50|-50,DeepStack,sun.kaishi.2 
r300r900c,cr2700f,,,5s5dQsKc4cJh3c,-900|900,sun.kaishi.1,DeepStack 
f,,,,JsKc7c2d,50|-50,sun.kaishi.2,DeepStack 
f,,,,8s6cQs3c,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,3dQc8d9d,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,Ts7hJdJc,-100|100,DeepStack,sun.kaishi.1 
f,,,,6c8cQh2d,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,9c6h2cTc,-100|100,sun.kaishi.1,DeepStack 
r300c,r900c,k,k,JhKdTsTdJd4s6h6c3d,900|-900,sun.kaishi.2,DeepStack 
f,,,,6d2s5cAs,50|-50,DeepStack,sun.kaishi.1 
f,,,,Ks7d4s2d,50|-50,sun.kaishi.1,DeepStack 
f,,,,Kc4d8s5h,50|-50,DeepStack,sun.kaishi.1 
f,,,,2hAcTd4h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,9c7dKcJc,-100|100,sun.kaishi.1,DeepStack 
k,k,r250f,,3cQcJh3dKc5c9dKd,100|-100,sun.kaishi.2,DeepStack 
f,,,,2d5d3h6s,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,Tc5h4s2s,-100|100,sun.kaishi.1,DeepStack 
f,,,,Ks3dKc3h,50|-50,DeepStack,sun.kaishi.2 
r200r600f,,,,TdTs7h5c,200|-200,sun.kaishi.2,DeepStack 
r300r900r2700f,,,,8cKcTsTd,-900|900,DeepStack,sun.kaishi.1 
f,,,,5d2s6cTc,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,4c5c6sJh,-100|100,sun.kaishi.2,DeepStack 
k,cr200f,,,Jc3s5d8hTcAhQs,-100|100,sun.kaishi.1,DeepStack 
f,,,,JhQs3s4h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,4d5hAdKs,-100|100,sun.kaishi.2,DeepStack 
f,,,,Qh5s3h8d,50|-50,DeepStack,sun.kaishi.1 
f,,,,As8d8cKd,50|-50,DeepStack,sun.kaishi.2 
f,,,,6dKs2c7s,50|-50,sun.kaishi.2,DeepStack 
k,k,k,cr200c,Ts4c4dTh2h2dJcTd5h,0|0,sun.kaishi.1,DeepStack 
f,,,,6cTc2h3s,50|-50,DeepStack,sun.kaishi.2 
cr300f,,,,Kd9d2cTd,100|-100,sun.kaishi.2,DeepStack 
f,,,,8sJh8cTc,50|-50,DeepStack,sun.kaishi.2 
k,k,k,k,Ts7c3hQc8s7d4s3dAc,100|-100,sun.kaishi.2,DeepStack 
f,,,,JsKh4hKs,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,Th6s9c9s,-100|100,sun.kaishi.1,DeepStack 
f,,,,3sKcKd4h,50|-50,DeepStack,sun.kaishi.1 
f,,,,2cQc5s8h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Ks2h3d2d,-100|100,sun.kaishi.1,DeepStack 
f,,,,4cJh7c2s,50|-50,sun.kaishi.2,DeepStack 
f,,,,AcQh4sQs,50|-50,DeepStack,sun.kaishi.2 
f,,,,5s6s3s6d,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,8h4h5cAc,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,7sTd8cTh,-100|100,sun.kaishi.1,DeepStack 
f,,,,7cJd2h5h,50|-50,DeepStack,sun.kaishi.2 
f,,,,4h3s3c2h,50|-50,sun.kaishi.2,DeepStack 
f,,,,Jd4h9c5d,50|-50,DeepStack,sun.kaishi.1 
f,,,,QcKc6sJc,50|-50,DeepStack,sun.kaishi.2 
r300r900c,k,cr1800f,,AsTh7h6d6cJc9h6h,-900|900,sun.kaishi.1,DeepStack 
k,cr200f,,,Jc6h7h4cQc9h9c,-100|100,sun.kaishi.2,DeepStack 
f,,,,6d5c2c8s,50|-50,DeepStack,sun.kaishi.2 
k,k,cr200c,cr600f,Kh2h8d4h5h6sKs5sAh,-200|200,sun.kaishi.2,DeepStack 
f,,,,7hKc9hTd,50|-50,DeepStack,sun.kaishi.1 
r300c,cr900f,,,Ah6h5dTcKh7cQc,-300|300,sun.kaishi.1,DeepStack 
f,,,,Td7c9hKd,50|-50,DeepStack,sun.kaishi.2 
f,,,,JhAcQh9s,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,JdQhKd9d,-100|100,sun.kaishi.2,DeepStack 
k,k,k,k,8s9sJcQd2d8c4hAhKd,100|-100,sun.kaishi.1,DeepStack 
f,,,,9c9d4sAh,50|-50,DeepStack,sun.kaishi.2 
k,k,k,cr200c,9cTs3dKdKsAc2dTh9s,200|-200,sun.kaishi.2,DeepStack 
f,,,,TcQh6hAc,50|-50,DeepStack,sun.kaishi.1 
f,,,,ThJcTc3c,50|-50,DeepStack,sun.kaishi.2 
f,,,,4s7d3c7h,50|-50,sun.kaishi.1,DeepStack 
k,r250f,,,Ad9dKc5h4cTh9c,100|-100,sun.kaishi.2,DeepStack 
f,,,,4dJs6dTc,50|-50,DeepStack,sun.kaishi.1 
k,k,k,cr200c,5dKcJh2d6hKs4cQhJd,200|-200,sun.kaishi.1,DeepStack 
r300f,,,,3s7hQcAd,-100|100,DeepStack,sun.kaishi.2 
r200f,,,,2cKcKhQc,-100|100,sun.kaishi.2,DeepStack 
r300c,cr750c,k,r1500f,Qc2cTcJc8cQd6h2h7c,750|-750,DeepStack,sun.kaishi.2 
f,,,,3h8c5hQd,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,4h2c7sKh,-100|100,sun.kaishi.2,DeepStack 
f,,,,JhKdQd2s,50|-50,DeepStack,sun.kaishi.2 
k,cr200c,cr600c,k,Ah8sJsKcJcTsTdKd9h,-600|600,sun.kaishi.1,DeepStack 
f,,,,3d7c8d3c,50|-50,sun.kaishi.2,DeepStack 
r300f,,,,2cQsKcTs,-100|100,DeepStack,sun.kaishi.2 
r200r600c,r1800f,,,JsAs7cAc4h8s7d,600|-600,sun.kaishi.2,DeepStack 
f,,,,3c6sKc4s,50|-50,DeepStack,sun.kaishi.2 
f,,,,9c2c7c6d,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,3cAsTd8d,-100|100,sun.kaishi.2,DeepStack 
k,cr200c,cr600c,k,9d7dTsJc9c2hKh8s6c,600|-600,sun.kaishi.1,DeepStack 
f,,,,Kc7c6dAc,50|-50,DeepStack,sun.kaishi.2 
cr300f,,,,8c8h3hJc,100|-100,sun.kaishi.2,DeepStack 
f,,,,JcAdJs3s,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,2hThTd2d,-100|100,sun.kaishi.2,DeepStack 
f,,,,7dJc8h4d,50|-50,DeepStack,sun.kaishi.2 
r300c,k,k,k,Kd7h6sAs5h3c7dAd5c,-300|300,DeepStack,sun.kaishi.1 
k,k,k,cr200f,2s7h2c5s4cTsJc3h8h,-100|100,sun.kaishi.2,DeepStack 
f,,,,Td9s5dKh,50|-50,DeepStack,sun.kaishi.2 
cr300c,r900c,cr1800f,,8h8d2dQsQdAdQhKd,-900|900,sun.kaishi.1,DeepStack 
r300r900f,,,,TdTs8h3h,300|-300,sun.kaishi.2,DeepStack 
f,,,,QdKh7c8h,50|-50,DeepStack,sun.kaishi.2 
cr300c,k,cr600c,k,8h8d6s7dTc9sQd9c4d,600|-600,sun.kaishi.2,DeepStack 
f,,,,4h3h3sTd,50|-50,DeepStack,sun.kaishi.1 
f,,,,JsAcAs8h,50|-50,DeepStack,sun.kaishi.2 
k,k,k,cr200f,9h3s7d6h5c8c7c6d7s,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,4h7c3dAs,-100|100,sun.kaishi.2,DeepStack 
f,,,,Js4dTh2c,50|-50,DeepStack,sun.kaishi.2 
k,k,k,cr300f,9c2s6d5c7c8s8dTc3c,-100|100,sun.kaishi.2,DeepStack 
f,,,,Ad6cQc7s,50|-50,DeepStack,sun.kaishi.2 
r300c,cr900c,cr2700f,,7c8sQhQd5d8cTh5h,-900|900,DeepStack,sun.kaishi.1 
k,k,r300f,,6dKh9s4d3cKc8dKd,100|-100,sun.kaishi.2,DeepStack 
f,,,,Kc8hQh6s,50|-50,DeepStack,sun.kaishi.2 
r300r900c,r2700f,,,ThAhAc5h9d4h9h,900|-900,sun.kaishi.1,DeepStack 
r200f,,,,Td4hAs4s,-100|100,sun.kaishi.2,DeepStack 
r300r900c,cr2700c,cr6750c,k,Qs8sKsJd6hQh9s2s2h,6750|-6750,DeepStack,sun.kaishi.2 
r300f,,,,8h3sAhTs,-100|100,DeepStack,sun.kaishi.1 
k,cr200r600f,,,Ks6hQhJs8c6s6d,200|-200,sun.kaishi.1,DeepStack 
r200f,,,,Td6sKhQh,-100|100,sun.kaishi.2,DeepStack 
f,,,,QsQhKcQd,50|-50,DeepStack,sun.kaishi.2 
k,r300c,r900f,,7c8h5c9h8c5h6d2h,300|-300,sun.kaishi.2,DeepStack 
f,,,,6h2cAs7h,50|-50,DeepStack,sun.kaishi.1 
f,,,,Qh2s5h7h,50|-50,DeepStack,sun.kaishi.2 
f,,,,9c4d7c3h,50|-50,sun.kaishi.1,DeepStack 
k,cr200f,,,4h7c3cKcTcAdTs,-100|100,sun.kaishi.2,DeepStack 
f,,,,6d7sAd9h,50|-50,DeepStack,sun.kaishi.1 
f,,,,As6c9dAh,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,Ts7dKd6c,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,2dKdKc3h,-100|100,sun.kaishi.1,DeepStack 
f,,,,KhJcJh4c,50|-50,DeepStack,sun.kaishi.2 
f,,,,KdAh2c4s,50|-50,sun.kaishi.2,DeepStack 
f,,,,5dQs5c6c,50|-50,DeepStack,sun.kaishi.1 
f,,,,KcKh8c3s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,2cKc4hQd,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,6d2s4dAc,-100|100,sun.kaishi.1,DeepStack 
f,,,,4d5d3dJd,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,Qs9dAs5s,-100|100,sun.kaishi.2,DeepStack 
f,,,,Ah3d4d7d,50|-50,DeepStack,sun.kaishi.2 
f,,,,Ad3cJh4c,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,Qh8c4dJd,-100|100,sun.kaishi.2,DeepStack 
r300c,cr750c,k,cr2250f,JhKcQhTh4d9dQc2sQd,-750|750,DeepStack,sun.kaishi.2 
r300f,,,,3s5d7sQh,-100|100,sun.kaishi.1,DeepStack 
r300c,k,r600f,,9d8sJsAs7d4s5d3h,300|-300,DeepStack,sun.kaishi.1 
f,,,,Jh3h2d9h,50|-50,sun.kaishi.2,DeepStack 
f,,,,3cAh2c4h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,4h6d4dJd,-100|100,sun.kaishi.2,DeepStack 
f,,,,JsThKc6h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,2cJh9d6s,-100|100,sun.kaishi.1,DeepStack 
f,,,,6hJs7c2d,50|-50,sun.kaishi.2,DeepStack 
r300c,cr900f,,,3dKdKcKsTh2d7h,-300|300,DeepStack,sun.kaishi.2 
r300c,cr900f,,,3c6cJdAh5c8h9d,-300|300,DeepStack,sun.kaishi.1 
r300f,,,,Kd7h9s7s,-100|100,sun.kaishi.2,DeepStack 
k,r250c,cr500f,,3h5h4h8c6h6s4s8d,-250|250,sun.kaishi.1,DeepStack 
k,k,k,k,7h2c6dTd9cAdKh3h6s,-100|100,DeepStack,sun.kaishi.2 
f,,,,9h8h8d5h,50|-50,DeepStack,sun.kaishi.1 
r300r900c,k,k,k,4sAsTh6hTd9dQhKcAd,900|-900,sun.kaishi.2,DeepStack 
r200f,,,,9hTcJh9s,-100|100,sun.kaishi.1,DeepStack 
f,,,,8cJh3hKs,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,JcTdKcAh,-100|100,sun.kaishi.2,DeepStack 
f,,,,Kd5d4s8h,50|-50,DeepStack,sun.kaishi.1 
f,,,,KhKcKd6c,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,8h6cKd2hQdJh5h,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,Ah3d9d9s,-100|100,sun.kaishi.2,DeepStack 
f,,,,7dQs6s8d,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,4c3hKh2h,-100|100,sun.kaishi.2,DeepStack 
f,,,,Qs6d2hKh,50|-50,DeepStack,sun.kaishi.2 
f,,,,Qs5c9hKd,50|-50,DeepStack,sun.kaishi.1 
f,,,,TdKd7c2s,50|-50,sun.kaishi.2,DeepStack 
r300f,,,,Th5dQhAh,-100|100,sun.kaishi.1,DeepStack 
r300c,cr900f,,,8hQdAs9s4hTdAh,-300|300,DeepStack,sun.kaishi.2 
f,,,,7dQs6c3h,50|-50,DeepStack,sun.kaishi.1 
r200f,,,,3h4hAsAd,-100|100,sun.kaishi.2,DeepStack 
k,cr300c,cr600f,,3d9s4dKh3hKs4h9h,-300|300,sun.kaishi.1,DeepStack 
f,,,,Kc6d7c2c,50|-50,DeepStack,sun.kaishi.2 
k,cr300c,k,k,3hQh7h8s6cQcKcTcAc,0|0,sun.kaishi.2,DeepStack 
f,,,,9c5c7sQc,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,7d4s7h7c,-100|100,DeepStack,sun.kaishi.2 
r300f,,,,6cQd9s2s,-100|100,sun.kaishi.1,DeepStack 
r300r900f,,,,QsTd8c2c,300|-300,sun.kaishi.2,DeepStack 
r300f,,,,5cJhKsJc,-100|100,DeepStack,sun.kaishi.2 
f,,,,5dJhKh6s,50|-50,DeepStack,sun.kaishi.1 
k,k,k,cr200f,4dKh6c3s9sQcAs7sTs,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,3h9c5c8h,-100|100,sun.kaishi.1,DeepStack 
f,,,,9c7s7h9s,50|-50,DeepStack,sun.kaishi.1 
f,,,,Ts6d6cTh,50|-50,DeepStack,sun.kaishi.2 
cr300f,,,,QcAhJc2s,100|-100,sun.kaishi.1,DeepStack 
f,,,,5cTc2s7d,50|-50,sun.kaishi.2,DeepStack 
f,,,,4sAh7s4c,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Td8d5s6h,-100|100,sun.kaishi.2,DeepStack 
f,,,,JhTs3c8c,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,8h2h8cAc,-100|100,DeepStack,sun.kaishi.2 
k,cr300f,,,2cJh9cKsThQc3h,-100|100,sun.kaishi.1,DeepStack 
r200f,,,,3d5h6s4c,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,Td3c4s4c,-100|100,DeepStack,sun.kaishi.2 
r200f,,,,4s7c8h7h,-100|100,sun.kaishi.2,DeepStack 
f,,,,2s4d2h5c,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,9c4c4d7h,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,4d3sAhTc,-100|100,DeepStack,sun.kaishi.1 
f,,,,6s3h6c2d,50|-50,sun.kaishi.1,DeepStack 
f,,,,5s6s4d6h,50|-50,DeepStack,sun.kaishi.1 
k,r300f,,,QdJh4s8h9sQh3d,100|-100,sun.kaishi.1,DeepStack 
f,,,,Ks4s7hQd,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,5c7d8sQh,-100|100,sun.kaishi.1,DeepStack 
