PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300c,k,r900f,,2d8d2h7h9h3sJs3c,300|-300,parlavecchio.antonio.3,DeepStack 
f,,,,7c8h5s9d,50|-50,DeepStack,parlavecchio.antonio.3 
r300f,,,,2c6s6dTh,-100|100,parlavecchio.antonio.3,DeepStack 
k,cr300c,k,k,8d4cQd5c8h7s3dTd3c,300|-300,DeepStack,parlavecchio.antonio.3 
cr300f,,,,2hQh4s9h,100|-100,parlavecchio.antonio.3,DeepStack 
r200f,,,,3h2cKh3c,-100|100,DeepStack,parlavecchio.antonio.3 
cr500c,r1500f,,,AdTsJd6d9sAcJs,500|-500,parlavecchio.antonio.3,DeepStack 
r300r900c,cr2700c,cr8100r16200f,,TsTh4c3h9sJs9dJc,8100|-8100,DeepStack,parlavecchio.antonio.3 
r300c,k,r900f,,9hKc9s5h4dAcJh6c,300|-300,parlavecchio.antonio.3,DeepStack 
k,cr300c,cr900c,cr2700f,9s3h3s8s5hKs9h2cAs,-900|900,DeepStack,parlavecchio.antonio.3 
k,r300f,,,7sTc3d6sJcAh9c,100|-100,parlavecchio.antonio.3,DeepStack 
r300f,,,,2cKd9h9c,-100|100,DeepStack,parlavecchio.antonio.3 
r200c,k,k,r400f,7s3sJs2s4hKc8h5sAs,200|-200,parlavecchio.antonio.3,DeepStack 
r300c,cr750f,,,Ac3hAd5dQh6c4h,-300|300,DeepStack,parlavecchio.antonio.3 
k,cr300c,cr900c,cr1800c,6d5sJh6h2s5c9hJc3d,-1800|1800,parlavecchio.antonio.3,DeepStack 
r300c,cr750f,,,5d4c8sQd3dTcTd,-300|300,DeepStack,parlavecchio.antonio.3 
r300c,cr600c,k,r1800f,KdKsKcAs4d3cThTs5s,600|-600,parlavecchio.antonio.3,DeepStack 
r300c,cr750f,,,9sQc6sTsAhJhTh,-300|300,DeepStack,parlavecchio.antonio.3 
r300c,k,k,k,8dQcAcQdKd4d5s4c9d,-300|300,parlavecchio.antonio.3,DeepStack 
r300r900c,r1800r2700c,cr8100f,,AdQh2s5s6h7hTd7d,-2700|2700,DeepStack,parlavecchio.antonio.3 
r200r600r1800f,,,,8s7c9dTd,-600|600,parlavecchio.antonio.3,DeepStack 
r300r900c,k,r2700f,,QsKc6dTs9h7sJs2d,900|-900,DeepStack,parlavecchio.antonio.3 
cr300c,r900f,,,Kc6c5h8s4sAd3d,300|-300,parlavecchio.antonio.3,DeepStack 
k,k,k,r300c,2c6dQd5s7hTc9s8d5c,300|-300,DeepStack,parlavecchio.antonio.3 
r200c,k,cr400f,,Ad9s4h6dQhJh6h2c,-200|200,parlavecchio.antonio.3,DeepStack 
r300r900c,r1800f,,,Qh9h5sAh5d8sKc,900|-900,DeepStack,parlavecchio.antonio.3 
r300r900c,cr1800c,cr3600f,,5dAsAhJhKs5cJs2d,-1800|1800,parlavecchio.antonio.3,DeepStack 
r300c,cr900c,cr2700c,k,JdKc6dTs2d5hKsTd5d,2700|-2700,DeepStack,parlavecchio.antonio.3 
k,cr200c,k,r600c,9s3sTd2hTs3hAh2s3c,600|-600,parlavecchio.antonio.3,DeepStack 
r200c,cr600c,k,r1200f,8hJd3cQs7c5cJh2s4d,600|-600,DeepStack,parlavecchio.antonio.3 
cr300f,,,,8s3dTs2c,100|-100,parlavecchio.antonio.3,DeepStack 
r300f,,,,2hKsThAs,-100|100,DeepStack,parlavecchio.antonio.3 
r300r900f,,,,JsJd7cTh,300|-300,parlavecchio.antonio.3,DeepStack 
cr300c,cr900f,,,5hKhQh7s3cAc9d,-300|300,DeepStack,parlavecchio.antonio.3 
cr300f,,,,7c6cTc5s,100|-100,parlavecchio.antonio.3,DeepStack 
r200c,cr600c,cr1800f,,2dAh7h4s5c4dJh6s,-600|600,DeepStack,parlavecchio.antonio.3 
r300c,r900f,,,Tc9h7d8hJh4sKs,300|-300,parlavecchio.antonio.3,DeepStack 
r300f,,,,Jh2cTdAh,-100|100,DeepStack,parlavecchio.antonio.3 
r300f,,,,2h6s9d8d,-100|100,parlavecchio.antonio.3,DeepStack 
r300f,,,,3d2dKsKh,-100|100,DeepStack,parlavecchio.antonio.3 
r200c,cr400f,,,Tc2s9d2d6c7sQd,-200|200,parlavecchio.antonio.3,DeepStack 
r300f,,,,Jh4s5dJd,-100|100,DeepStack,parlavecchio.antonio.3 
cr300c,r900f,,,4c3c4h3h9cAd7s,300|-300,parlavecchio.antonio.3,DeepStack 
r300c,k,cr900f,,Qh3hAh5c7hJdJsKc,-300|300,DeepStack,parlavecchio.antonio.3 
r300c,r900c,r2700c,r8100f,3hQd6dTs7hTh9s6h2s,2700|-2700,parlavecchio.antonio.3,DeepStack 
r300c,k,cr900c,k,7hQhJhTdKs7c4sTc7d,900|-900,DeepStack,parlavecchio.antonio.3 
r300c,r900f,,,8c4hAdKh8h7s5s,300|-300,parlavecchio.antonio.3,DeepStack 
r300f,,,,7cTs4s4d,-100|100,DeepStack,parlavecchio.antonio.3 
r300c,k,r900c,r1800f,9sKsJc9cAh9h3c4c3s,900|-900,parlavecchio.antonio.3,DeepStack 
f,,,,7d6c2cTd,50|-50,DeepStack,parlavecchio.antonio.3 
r200c,r600f,,,Qd5dJc7sAd2dTh,200|-200,parlavecchio.antonio.3,DeepStack 
f,,,,4d2h6cJd,50|-50,DeepStack,parlavecchio.antonio.3 
cr300r900c,r2700r5400c,k,r13500f,7hQh8c8h6d5s4c3c3h,5400|-5400,parlavecchio.antonio.3,DeepStack 
r300r900c,k,r1800c,cr4500c,QhAh6h6dJh9d4cKcKs,-4500|4500,DeepStack,parlavecchio.antonio.3 
r300c,k,cr900c,k,6dKcKdAcJh6h5s5d7h,900|-900,DeepStack,parlavecchio.antonio.1 
r200c,r600r1800c,k,r5400f,7cJd8c4cTdJs4sJc3h,1800|-1800,parlavecchio.antonio.3,DeepStack 
r200c,cr600f,,,9c7hJh7d5d4sTh,-200|200,parlavecchio.antonio.1,DeepStack 
k,cr300c,cr900f,,Jc5d2h4hJh9sQc2d,-300|300,DeepStack,parlavecchio.antonio.3 
r300c,cr600f,,,Qc2h5d4s5hJsKs,-300|300,parlavecchio.antonio.3,DeepStack 
r300c,k,r600r900c,cr2250f,Ah4dJdAs8c5s6cAc2d,-900|900,DeepStack,parlavecchio.antonio.3 
r300c,k,r900c,r1800c,TdQh9d7c7s6dTh3h8h,-1800|1800,parlavecchio.antonio.3,DeepStack 
r300f,,,,3c6sKdJs,-100|100,DeepStack,parlavecchio.antonio.3 
r300c,k,r750c,r2250c,6c8c4dJcKs9cJs4cAc,2250|-2250,parlavecchio.antonio.3,DeepStack 
f,,,,5c4h2d9c,50|-50,DeepStack,parlavecchio.antonio.1 
r200c,cr400c,k,k,8s9cQc6s7c5s5dAdQh,-400|400,parlavecchio.antonio.1,DeepStack 
r300c,k,cr750c,k,7s5s4dAd2h9dKc5h9c,750|-750,DeepStack,parlavecchio.antonio.3 
r300r600c,r1200f,,,KsTc4d7cTs8hAh,600|-600,DeepStack,parlavecchio.antonio.1 
r200c,k,k,cr600f,9sQh3d3h6c7s4h5sJh,-200|200,parlavecchio.antonio.1,DeepStack 
r300c,k,k,cr900r2700f,4sTs6sJhQdAdTd4h4d,900|-900,DeepStack,parlavecchio.antonio.1 
f,,,,Qh8s2c9s,50|-50,parlavecchio.antonio.1,DeepStack 
r300r900c,r1800c,r3600c,k,TsKs8hKhKd8d2h5c2d,-3600|3600,DeepStack,parlavecchio.antonio.1 
k,r200r400f,,,7s4cQsAsTcTh3d,-200|200,parlavecchio.antonio.3,DeepStack 
r300r900f,,,,JdQs5sQd,300|-300,parlavecchio.antonio.1,DeepStack 
k,k,k,k,Ad3hJc3sQc5cTd6dKh,100|-100,DeepStack,parlavecchio.antonio.1 
r300c,k,r900c,r2700c,5dKsTh9d8s5hKc9h3c,2700|-2700,parlavecchio.antonio.1,DeepStack 
r300r900c,k,cr2700c,k,QdAdTh7s7cJhKsJd3c,-2700|2700,DeepStack,parlavecchio.antonio.3 
k,k,k,r200f,3c4d9s5sTs7h4h3s7d,100|-100,DeepStack,parlavecchio.antonio.1 
r300f,,,,2dQhJs4d,-100|100,parlavecchio.antonio.1,DeepStack 
r300c,cr900f,,,6hTh4c5dKd6cAd,-300|300,DeepStack,parlavecchio.antonio.1 
k,r300f,,,7hTc4h7d8c8s9c,100|-100,parlavecchio.antonio.3,DeepStack 
f,,,,8s6h2s3c,50|-50,parlavecchio.antonio.1,DeepStack 
f,,,,JhTd4cTh,50|-50,DeepStack,parlavecchio.antonio.1 
r300c,cr600r900r1800f,,,4dKh5hAd3h2s9h,-900|900,parlavecchio.antonio.1,DeepStack 
r300f,,,,6sQh8h3h,-100|100,DeepStack,parlavecchio.antonio.3 
r300c,r900r1800c,k,k,Kh3d4c7c8dKcQsAd2d,1800|-1800,parlavecchio.antonio.3,DeepStack 
r300f,,,,3sTc4dTd,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900c,cr1800r2700c,r6750r20000f,,3c2hKdAsKs7sTc9s,-6750|6750,parlavecchio.antonio.1,DeepStack 
r300c,cr900c,cr2700c,cr20000f,9s8dJc7h9d3h6dTcAs,-2700|2700,DeepStack,parlavecchio.antonio.1 
r300r900c,r1800c,k,k,8cKcAc5sTcQs3c8sJd,1800|-1800,DeepStack,parlavecchio.antonio.3 
r300c,cr600f,,,QcJh7s6sTdTs3c,-300|300,parlavecchio.antonio.3,DeepStack 
f,,,,3d4h3h8s,50|-50,parlavecchio.antonio.1,DeepStack 
r300r900r1500r3000c,r20000c,,,AhJdQd2h2d5h3h3sQs,-20000|20000,DeepStack,parlavecchio.antonio.1 
cr300c,r900f,,,6c9h5c3h8h3s6s,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr900c,cr2700f,,9sQcQh6dKhJc7c3d,-900|900,DeepStack,parlavecchio.antonio.1 
k,k,cr300c,k,3cTs5c9h5dQcJcTc4h,300|-300,parlavecchio.antonio.1,DeepStack 
k,k,cr300c,cr900f,Qc5s4s7sJhKhJsKs8s,-300|300,DeepStack,parlavecchio.antonio.1 
r300f,,,,8s3dJhTh,-100|100,parlavecchio.antonio.1,DeepStack 
r300f,,,,Ks5d7s4d,-100|100,DeepStack,parlavecchio.antonio.1 
cr300f,,,,JsAd2cTs,100|-100,parlavecchio.antonio.1,DeepStack 
k,k,k,k,3c8h3s6dJsTsAd6c4s,-100|100,DeepStack,parlavecchio.antonio.1 
r200c,cr600f,,,As8h5hKcQc9d4h,-200|200,DeepStack,parlavecchio.antonio.3 
cr300c,r900f,,,Ad3cKs9h4h7h5s,300|-300,parlavecchio.antonio.3,DeepStack 
f,,,,QdKd3d8c,50|-50,parlavecchio.antonio.1,DeepStack 
r300c,r600r1800c,cr5400c,k,5hKs6h4h5sAsKd3h6c,5400|-5400,DeepStack,parlavecchio.antonio.1 
r300r600c,r1200c,cr2400f,,9dQs7hAs8sAh6s6d,-1200|1200,DeepStack,parlavecchio.antonio.3 
r200r600r1800c,cr3600r7200f,,,8d9cKdJd8c2d7h,3600|-3600,parlavecchio.antonio.1,DeepStack 
r300f,,,,4d6h9h8s,-100|100,DeepStack,parlavecchio.antonio.1 
cr300c,r750f,,,QsKd5sJs2cKhAc,300|-300,parlavecchio.antonio.3,DeepStack 
r300r900c,r2700f,,,4cTs9dJd3s8h6d,900|-900,parlavecchio.antonio.1,DeepStack 
r300f,,,,2h9c3dAc,-100|100,DeepStack,parlavecchio.antonio.3 
f,,,,8h6s2d7s,50|-50,parlavecchio.antonio.3,DeepStack 
r300c,cr900c,r1800r2700c,cr8100f,TsJdTcAcQc4dAd8d7h,-2700|2700,DeepStack,parlavecchio.antonio.1 
r300r900c,r1800c,r3600c,r18000f,KcJh5c4s8d7hKh3dKs,3600|-3600,DeepStack,parlavecchio.antonio.3 
r300r900f,,,,Kh5hAc6d,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr900f,,,KsTc3c7h3s8h4s,-300|300,DeepStack,parlavecchio.antonio.1 
r200r600c,r1800f,,,Ac6hAd7d8h8c5h,600|-600,parlavecchio.antonio.3,DeepStack 
r300c,cr750c,cr1500c,r3000r4500f,As8h2s7s6s3c4s5sTc,-3000|3000,DeepStack,parlavecchio.antonio.3 
k,r250f,,,7sThQsTd9h9c2d,100|-100,parlavecchio.antonio.3,DeepStack 
r300f,,,,2s3d4dQd,-100|100,DeepStack,parlavecchio.antonio.3 
f,,,,7s3h2d9s,50|-50,parlavecchio.antonio.3,DeepStack 
r300f,,,,9h5sAcJs,-100|100,DeepStack,parlavecchio.antonio.3 
f,,,,9cQd4d2c,50|-50,parlavecchio.antonio.3,DeepStack 
r300r900c,k,cr2700c,k,Ks9s6c5cThKd9hAd8d,2700|-2700,DeepStack,parlavecchio.antonio.3 
r200c,k,cr400f,,4d9h8hTsQcJhQs5s,-200|200,parlavecchio.antonio.3,DeepStack 
cr300c,r900f,,,AhKc5s5hTs3c6c,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr900c,cr2700c,cr20000f,2sAh8h4cAc3c2d5sQd,-2700|2700,DeepStack,parlavecchio.antonio.1 
r300f,,,,Jc6sQhKs,-100|100,DeepStack,parlavecchio.antonio.3 
r200f,,,,8h3d2h6h,-100|100,parlavecchio.antonio.3,DeepStack 
cr300c,r900c,r2700f,,2d2hTd8c9s5dQh4c,900|-900,parlavecchio.antonio.1,DeepStack 
k,cr300c,k,r600c,Td8h9h5sJcQs6d5h4d,-600|600,DeepStack,parlavecchio.antonio.3 
r300r900c,r1800r2700c,cr8100f,,9s7sKcQs4h6d8h6s,-2700|2700,DeepStack,parlavecchio.antonio.1 
r300c,r750c,r1875c,cr5625c,Tc8c7cTdJc8s6s9hAs,-5625|5625,parlavecchio.antonio.3,DeepStack 
r300c,r900f,,,6d5sTd9h6sJc5h,300|-300,parlavecchio.antonio.1,DeepStack 
r300f,,,,2cTd5sKh,-100|100,DeepStack,parlavecchio.antonio.1 
r300c,cr750c,cr1875c,cr4687f,TdQc8hAhTh4h7c8d5h,-1875|1875,DeepStack,parlavecchio.antonio.3 
f,,,,Ah2c7c2d,50|-50,parlavecchio.antonio.1,DeepStack 
r300r900c,r1800r2700r5400f,,,QdAh4s9h8c7h8s,2700|-2700,DeepStack,parlavecchio.antonio.1 
r300c,cr900c,r2250f,,3d6s7dAc2d7s8s9c,900|-900,parlavecchio.antonio.3,DeepStack 
r300r900f,,,,JdAhJh5s,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr900c,cr2700c,k,Qs7sAd7hQhJc2d4dJh,2700|-2700,DeepStack,parlavecchio.antonio.1 
f,,,,9c8d7d3h,50|-50,DeepStack,parlavecchio.antonio.3 
r300c,cr600f,,,JsQdQh8sAd7s9h,-300|300,parlavecchio.antonio.3,DeepStack 
cr300c,r900f,,,QcJd7sJc4s6d2d,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr750r2250c,k,r4500c,5h6sTsJd6c5dThKc8c,4500|-4500,DeepStack,parlavecchio.antonio.3 
r300f,,,,4hKs6c2s,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900c,r2700f,,,Jh6s5d6h3hQsKs,900|-900,parlavecchio.antonio.1,DeepStack 
r200c,r600f,,,4d9dQhTh2sKd5h,200|-200,parlavecchio.antonio.3,DeepStack 
r300c,cr900f,,,Ks6h6d8c7h4h4c,-300|300,DeepStack,parlavecchio.antonio.3 
r300c,r900r1800c,k,cr5400c,8dTc2h4h2s7hJs8h2c,-5400|5400,parlavecchio.antonio.3,DeepStack 
r300c,cr900c,cr2700c,cr8100f,Jh9dTdJdTcJs2d3hQc,-2700|2700,DeepStack,parlavecchio.antonio.1 
k,cr300f,,,3s8hTd2h2sThQc,-100|100,DeepStack,parlavecchio.antonio.3 
r300c,k,k,r900r4500f,3c4cJs7dTh7s5d8dAd,-900|900,parlavecchio.antonio.3,DeepStack 
r300r900f,,,,9c4cAh6d,300|-300,parlavecchio.antonio.1,DeepStack 
r300f,,,,8d3hKh2d,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900c,r2700c,k,cr13500f,TdAhJdJhQcTs8s2hKs,-2700|2700,parlavecchio.antonio.1,DeepStack 
k,k,k,k,Kd7c7hKc3h4hQs2d4s,0|0,DeepStack,parlavecchio.antonio.3 
r300c,cr900c,r1800c,r5400c,8dKs7s7c4cKd4dKc5s,5400|-5400,DeepStack,parlavecchio.antonio.1 
r300c,cr600f,,,9s6s8sTc5h2sJd,-300|300,parlavecchio.antonio.3,DeepStack 
r300r900c,r2700f,,,6d3hQdQs7dTsAc,900|-900,parlavecchio.antonio.1,DeepStack 
r300c,cr900f,,,8c4cAh2cJhTc7d,-300|300,DeepStack,parlavecchio.antonio.3 
r300c,cr900c,k,k,Qs4sAc9c3hQdTcKs6d,900|-900,DeepStack,parlavecchio.antonio.1 
r200c,k,cr400c,r1200c,5s8sKhJhAcQdQcJc9s,-1200|1200,parlavecchio.antonio.1,DeepStack 
r300c,cr900f,,,7c8h6d5cAcAsQh,-300|300,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,Td6s5dJs,300|-300,parlavecchio.antonio.1,DeepStack 
r200c,r500f,,,5hJh5d6sQs8s5c,200|-200,parlavecchio.antonio.3,DeepStack 
r300f,,,,8h2hAsTh,-100|100,DeepStack,parlavecchio.antonio.1 
r200c,cr400c,cr1200c,k,7h9s8s9cAsJd3s2sAh,-1200|1200,parlavecchio.antonio.1,DeepStack 
r200c,cr600c,cr1500c,cr4500c,Kh8c5s3c2hJs8d4d6c,-4500|4500,DeepStack,parlavecchio.antonio.3 
r300r900c,r1800c,r3600c,r7200f,KdKh6s8s2dKs6d9c2h,3600|-3600,DeepStack,parlavecchio.antonio.1 
r200c,r500c,r1250r2500c,cr5000r7500c,9d7c8h8s8cKdJc7sTs,7500|-7500,parlavecchio.antonio.3,DeepStack 
r300c,k,cr750f,,7cQsAc4d5c9dTcAh,-300|300,DeepStack,parlavecchio.antonio.3 
r300f,,,,4d8h7sJh,-100|100,parlavecchio.antonio.3,DeepStack 
r250c,cr625f,,,3s2sTdQcAsQd7c,-250|250,DeepStack,parlavecchio.antonio.3 
k,r300c,k,r900c,8c6h9c8hQh9h7dTcTd,900|-900,parlavecchio.antonio.3,DeepStack 
r300f,,,,5c8d2s7s,-100|100,DeepStack,parlavecchio.antonio.3 
k,k,r300c,r900c,Qh4s6c4c5h4dQsKcTs,900|-900,parlavecchio.antonio.3,DeepStack 
f,,,,6cTc8c2h,50|-50,DeepStack,parlavecchio.antonio.3 
r200r600c,cr1200f,,,2dAd4cAh5s6hTh,-600|600,parlavecchio.antonio.3,DeepStack 
r200c,cr600f,,,Td6c3h8h7c5s5d,-200|200,DeepStack,parlavecchio.antonio.3 
cr300c,r900c,r2250c,cr6750c,8dAh9dAc9c8h5s9hQc,-6750|6750,parlavecchio.antonio.3,DeepStack 
k,cr200f,,,5hQcQd2sAc7sAh,-100|100,DeepStack,parlavecchio.antonio.3 
r200c,r600r1200c,k,r3600c,6h3h7d7s8h7hKsJc4s,-3600|3600,parlavecchio.antonio.3,DeepStack 
r300r900c,r1800c,k,r3600c,5s5cJc7s5dJhQdAh3d,3600|-3600,DeepStack,parlavecchio.antonio.3 
cr300c,r900f,,,7s5sJs9d6c5d6s,300|-300,parlavecchio.antonio.1,DeepStack 
cr300c,r600r900r1800f,,,JdTdKc3s7sAc9s,900|-900,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,QhAs5s4d,300|-300,parlavecchio.antonio.3,DeepStack 
k,k,cr200c,cr400c,2h3d9c5h5cAh8s3h9s,-400|400,parlavecchio.antonio.1,DeepStack 
r300f,,,,5sJh7cQd,-100|100,DeepStack,parlavecchio.antonio.1 
cr300c,r900f,,,QsThKh5h2sJs7s,300|-300,parlavecchio.antonio.1,DeepStack 
r300f,,,,Kh3cQd6d,-100|100,DeepStack,parlavecchio.antonio.1 
r300f,,,,2hTd8d6d,-100|100,parlavecchio.antonio.1,DeepStack 
r300f,,,,4hQsTcKh,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,TsTc8h5d,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr900r2700c,cr8100f,,Jd8h8s6sTh4h9sKc,-2700|2700,DeepStack,parlavecchio.antonio.1 
r200r600f,,,,JsTcQs4h,200|-200,parlavecchio.antonio.1,DeepStack 
f,,,,KhQhQs3d,50|-50,DeepStack,parlavecchio.antonio.1 
r300r900c,r2700c,r8100c,r20000f,7d6c8h7c8s6s3hKd4d,8100|-8100,parlavecchio.antonio.1,DeepStack 
r300r900c,r1800c,cr5400f,,6d8d7dQdJc5dTd5c,-1800|1800,DeepStack,parlavecchio.antonio.3 
k,r200f,,,4sQcKh8h6s2d3c,100|-100,parlavecchio.antonio.3,DeepStack 
r300c,cr900f,,,3s3hAdAh8h4cQh,-300|300,DeepStack,parlavecchio.antonio.1 
