PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r500c,cr1500c,cr4500f,,9s8s6sTsKs6cAsKd,-1500|1500,DeepStack,sethi.muskan.4 
r300f,,,,8s3sJdTd,-100|100,DeepStack,sethi.muskan.3 
r200f,,,,9hKdQs9d,-100|100,sethi.muskan.3,DeepStack 
f,,,,8dAc8s5s,50|-50,DeepStack,sethi.muskan.1 
f,,,,8d3cKs8h,50|-50,DeepStack,sethi.muskan.3 
r200f,,,,9s5cThQc,-100|100,sethi.muskan.1,DeepStack 
r200f,,,,Td2c5cKh,-100|100,sethi.muskan.3,DeepStack 
cr300c,r900f,,,QhQd8h6s5hJd2c,300|-300,sethi.muskan.4,DeepStack 
f,,,,QhJd9cTh,50|-50,DeepStack,sethi.muskan.3 
cr300c,cr600f,,,2sAs8d5h9d2dQd,-300|300,sethi.muskan.3,DeepStack 
f,,,,7d6dJd6c,50|-50,DeepStack,sethi.muskan.1 
f,,,,Jh4sJc5h,50|-50,DeepStack,sethi.muskan.4 
r200f,,,,7hJsAd6h,-100|100,sethi.muskan.1,DeepStack 
k,r300c,r900c,r2700f,Ks5c9c3sKh9s4h6d6s,900|-900,sethi.muskan.4,DeepStack 
f,,,,ThKd9h7c,50|-50,DeepStack,sethi.muskan.3 
f,,,,6d6h4h5d,50|-50,DeepStack,sethi.muskan.1 
r200r600c,k,k,k,6sKs2cTc5c9c8c9d9s,-600|600,sethi.muskan.3,DeepStack 
r300f,,,,6s5cKc6d,-100|100,sethi.muskan.1,DeepStack 
f,,,,4dJc2hTc,50|-50,DeepStack,sethi.muskan.1 
r300r900r2700f,,,,8dAsTsKh,-900|900,sethi.muskan.1,DeepStack 
f,,,,6c8s4h9d,50|-50,DeepStack,sethi.muskan.4 
r250c,cr750c,k,k,Ts2sQs3d8d9c2h5h8s,750|-750,DeepStack,sethi.muskan.3 
r200f,,,,4cTc4dKc,-100|100,sethi.muskan.4,DeepStack 
r300r900r2700c,cr8100r20000c,,,8h8s5d3d6d8dQhKdTs,-20000|20000,DeepStack,sethi.muskan.1 
f,,,,Kd5d9s4d,50|-50,DeepStack,sethi.muskan.4 
r200f,,,,Kd6c4c4d,-100|100,sethi.muskan.3,DeepStack 
k,k,r300c,k,2cQcQh4h7cAs3cQsAd,0|0,sethi.muskan.4,DeepStack 
f,,,,Tc2hJd4c,50|-50,DeepStack,sethi.muskan.3 
k,r250f,,,3c2s2dJh4dKc6d,100|-100,sethi.muskan.3,DeepStack 
k,k,cr200f,,3d2cTc2s3s9cQs9d,-100|100,sethi.muskan.1,DeepStack 
r250c,cr750f,,,6c8dQs5s2s9sKs,-250|250,DeepStack,sethi.muskan.4 
r500f,,,,2d5hQdJc,-100|100,DeepStack,sethi.muskan.3 
k,cr200f,,,Tc4h5hTsJdKcKh,-100|100,sethi.muskan.4,DeepStack 
cr300f,,,,TcKh5d9h,100|-100,sethi.muskan.3,DeepStack 
r300c,k,cr900r2700r8100c,cr20000f,6cAh8cAd3c6h7sAsKc,-8100|8100,DeepStack,sethi.muskan.3 
f,,,,Ah6c9s3d,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,7cJcKh4c,-100|100,sethi.muskan.1,DeepStack 
f,,,,3c6d9s3s,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,Qh9sJhJd,-100|100,sethi.muskan.4,DeepStack 
r250r750f,,,,KhQs6hKd,250|-250,DeepStack,sethi.muskan.1 
f,,,,3s9c4h9d,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,4h3h5c6d,-100|100,sethi.muskan.3,DeepStack 
r300f,,,,5s9d6c8h,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,6s5c2d9d,-100|100,sethi.muskan.4,DeepStack 
r300c,k,r600r1500f,,JhTsAs5c9dQc9c4c,-600|600,DeepStack,sethi.muskan.3 
f,,,,2c5h5cQd,50|-50,DeepStack,sethi.muskan.1 
f,,,,QdQh2c3c,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,2h6c7sJd,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,2dTh5d3h,-100|100,sethi.muskan.4,DeepStack 
r300f,,,,2s8h3d7d,-100|100,sethi.muskan.3,DeepStack 
f,,,,QhKd8h4c,50|-50,DeepStack,sethi.muskan.1 
f,,,,4cJd5cTd,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,3d2h6hQs,-100|100,sethi.muskan.1,DeepStack 
f,,,,3d7d4d3c,50|-50,DeepStack,sethi.muskan.3 
r300f,,,,3d5sQsKh,-100|100,sethi.muskan.4,DeepStack 
r200f,,,,8s7h9s7s,-100|100,sethi.muskan.3,DeepStack 
f,,,,AhJd5d8c,50|-50,DeepStack,sethi.muskan.1 
f,,,,6d3h4dTd,50|-50,DeepStack,sethi.muskan.4 
f,,,,QhKd9cJs,50|-50,DeepStack,sethi.muskan.3 
r200r500r1500r3750f,,,,9h4hAsTd,1500|-1500,sethi.muskan.4,DeepStack 
r300f,,,,Jc6d2sQs,-100|100,sethi.muskan.1,DeepStack 
k,k,r300f,,7sQsKd2s4h9sAhTs,100|-100,sethi.muskan.3,DeepStack 
r300f,,,,4hKsAcTh,-100|100,DeepStack,sethi.muskan.1 
f,,,,8h6h5dJh,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,4c2dKcKd,-100|100,sethi.muskan.1,DeepStack 
k,k,k,k,Qh3dQc2hAhJh7c7d7h,0|0,sethi.muskan.4,DeepStack 
f,,,,AsAc4s9s,50|-50,DeepStack,sethi.muskan.3 
f,,,,2d3cKh7h,50|-50,DeepStack,sethi.muskan.1 
r300r900f,,,,8h8sQc5h,300|-300,sethi.muskan.3,DeepStack 
r200f,,,,9d8cAd7h,-100|100,sethi.muskan.1,DeepStack 
f,,,,6h4c9c8s,50|-50,DeepStack,sethi.muskan.3 
f,,,,Qs3s2s8s,50|-50,DeepStack,sethi.muskan.1 
f,,,,9c7d3h8s,50|-50,sethi.muskan.3,DeepStack 
f,,,,3hQc2h5s,50|-50,DeepStack,sethi.muskan.4 
f,,,,AhTs9d4c,50|-50,DeepStack,sethi.muskan.3 
r200r500r1500f,,,,5hJh8s7s,-500|500,sethi.muskan.1,DeepStack 
cr300f,,,,3sAcJh6s,100|-100,sethi.muskan.4,DeepStack 
r300r900f,,,,TcTdKs5c,300|-300,sethi.muskan.3,DeepStack 
f,,,,7hKcJh6h,50|-50,DeepStack,sethi.muskan.4 
f,,,,3d9d3s2d,50|-50,DeepStack,sethi.muskan.1 
f,,,,5s3s2d7s,50|-50,DeepStack,sethi.muskan.3 
r200f,,,,4s7cQhQs,-100|100,sethi.muskan.4,DeepStack 
r200f,,,,2c9c9h8d,-100|100,sethi.muskan.1,DeepStack 
r300c,cr750c,k,k,Qd8c3c3d7dTcJhKc8d,750|-750,DeepStack,sethi.muskan.4 
k,cr200f,,,9sTd4s5d2hQdQs,-100|100,sethi.muskan.3,DeepStack 
f,,,,KdQc5s2d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,9sTh7cAc,-100|100,sethi.muskan.1,DeepStack 
f,,,,Kc3dQc5c,50|-50,DeepStack,sethi.muskan.3 
r300f,,,,2c9d3d3s,-100|100,DeepStack,sethi.muskan.1 
k,k,k,k,Ts2hTc4hAdJsQh8d4d,-100|100,sethi.muskan.4,DeepStack 
