PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300r750c,cr1500c,cr3000r9000f,,KdJd4h3hJs5hJh9d,3000|-3000,sethi.muskan.1,DeepStack 
r200c,cr500c,cr1500c,k,Qd6hAd4dQc7s6c2dTh,1500|-1500,DeepStack,sethi.muskan.1 
k,k,r300c,cr600c,5cQdTsAc6hQhTcKcJc,-600|600,sethi.muskan.1,DeepStack 
r200c,cr600f,,,JdTs7cTc3c2dAc,-200|200,DeepStack,sethi.muskan.1 
k,k,r300c,k,6d5cJd7h7dQh9d4s9h,-300|300,sethi.muskan.1,DeepStack 
f,,,,5d8c5s9d,50|-50,DeepStack,sethi.muskan.1 
r200c,r600f,,,QcTdQh6s8sKd3h,200|-200,sethi.muskan.1,DeepStack 
f,,,,9hJd5h4c,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,r900f,Td7hQd4h6s6c8dQcAc,300|-300,sethi.muskan.1,DeepStack 
f,,,,9s4c5h7c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Ks2c2sAs,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,3c9d8sQd,-100|100,DeepStack,sethi.muskan.1 
k,k,cr200f,,Kh6c9c5s9hJc7h5d,-100|100,sethi.muskan.1,DeepStack 
r300r500r1000c,cr2000c,cr4000r10000f,,Th8s4h5hAd4s8dTd,4000|-4000,sethi.muskan.4,DeepStack 
f,,,,5cJcKd7s,50|-50,DeepStack,sethi.muskan.1 
r300r750r2250f,,,,Ah3s9cKs,-750|750,sethi.muskan.1,DeepStack 
f,,,,9sTh2c6d,50|-50,DeepStack,sethi.muskan.1 
r200c,k,cr600c,k,Qh5s2s7s5cQd8sJd9c,600|-600,DeepStack,sethi.muskan.4 
r300f,,,,5h7c5sQc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,8dTc5d4dAsAcQs,-200|200,DeepStack,sethi.muskan.1 
k,k,r250c,k,7cTh7d5dQh5sJh8s8d,-250|250,sethi.muskan.4,DeepStack 
k,k,k,k,Qh4d7sAd3hKsThTs9d,-100|100,sethi.muskan.1,DeepStack 
r200f,,,,5d2cJdKc,-100|100,DeepStack,sethi.muskan.4 
r300r900c,r2700c,r6750c,cr20000f,AsQs8s7s9h5c6dKd8d,-6750|6750,sethi.muskan.4,DeepStack 
r300f,,,,2s8h7s7h,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,8s2h2c6c,-100|100,sethi.muskan.1,DeepStack 
f,,,,6hAc5dQh,50|-50,DeepStack,sethi.muskan.1 
f,,,,AcTc7s2d,50|-50,DeepStack,sethi.muskan.4 
cr300f,,,,4sAcJc2d,100|-100,sethi.muskan.1,DeepStack 
r200c,cr400f,,,Ad4s6s6dQs6hKs,-200|200,sethi.muskan.4,DeepStack 
f,,,,4sJsQs6h,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,8dQh9s7c,-100|100,sethi.muskan.1,DeepStack 
f,,,,4c5s5c2h,50|-50,DeepStack,sethi.muskan.4 
f,,,,9d8s7dJh,50|-50,DeepStack,sethi.muskan.1 
cr300f,,,,4cAsJs3c,100|-100,sethi.muskan.4,DeepStack 
r200c,k,r500c,k,6s4hQcKh3c2h7s7c8h,-500|500,sethi.muskan.1,DeepStack 
f,,,,Qd5s7h5d,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,3dQh8d9h,-100|100,sethi.muskan.4,DeepStack 
r250c,k,r500f,,5dKs5c2cQd9c8hJh,250|-250,DeepStack,sethi.muskan.4 
f,,,,JcTc3dQc,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,cr600f,KdJs6hTsQc5c3c5sTd,-300|300,sethi.muskan.1,DeepStack 
r200c,cr400f,,,Ah2d7h9c6hQh7s,-200|200,sethi.muskan.4,DeepStack 
f,,,,5c7sKc6d,50|-50,DeepStack,sethi.muskan.1 
r250r750c,k,r2250c,cr11250f,JsKs6cQcAh2s3cQsQd,-2250|2250,DeepStack,sethi.muskan.4 
r300r900c,r2250c,r6750c,r20000f,ThAcJd4d5c7sJc4cAd,6750|-6750,sethi.muskan.1,DeepStack 
r200f,,,,2s9cQd5c,-100|100,sethi.muskan.4,DeepStack 
cr300c,r900f,,,8h6h5s2sJsAhKc,300|-300,DeepStack,sethi.muskan.4 
f,,,,Ac7s5d6s,50|-50,DeepStack,sethi.muskan.1 
f,,,,Kh8c7s2d,50|-50,sethi.muskan.4,DeepStack 
k,k,k,r300f,6hJs3d3h9h9sTsAsJc,100|-100,sethi.muskan.1,DeepStack 
f,,,,AhKd8h5d,50|-50,DeepStack,sethi.muskan.4 
cr300c,r600f,,,5d4d8cTcQd2cAs,300|-300,DeepStack,sethi.muskan.1 
k,k,cr300f,,9h3dJc4d2dThQcKs,-100|100,sethi.muskan.4,DeepStack 
cr250c,r750c,r2250c,r6750c,Ah9d3cAdAc5d7s4h6d,-6750|6750,sethi.muskan.1,DeepStack 
r250c,cr625r1875c,cr5625c,cr20000f,5d7h5c2c6d3d4cQd9h,-5625|5625,DeepStack,sethi.muskan.4 
r200c,k,cr600f,,9h5cJcJd4hJs4c8c,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,5c8d6d6c,-100|100,sethi.muskan.4,DeepStack 
f,,,,8sAsTs6c,50|-50,DeepStack,sethi.muskan.4 
k,cr200f,,,9c5cThAs3dTdQh,-100|100,sethi.muskan.4,DeepStack 
f,,,,QhTh4s2c,50|-50,sethi.muskan.1,DeepStack 
f,,,,7dKc3c8h,50|-50,DeepStack,sethi.muskan.1 
cr300c,k,cr600f,,Ad7s4dJhTc5s2dKc,-300|300,sethi.muskan.1,DeepStack 
f,,,,6h5hTc4c,50|-50,DeepStack,sethi.muskan.4 
r300c,k,k,cr900f,JcKs3c5c8hThAh8s6d,-300|300,sethi.muskan.4,DeepStack 
f,,,,KcAs4s5c,50|-50,DeepStack,sethi.muskan.1 
f,,,,3d6hKd3s,50|-50,DeepStack,sethi.muskan.4 
r300r900f,,,,6c7c9c3c,300|-300,sethi.muskan.1,DeepStack 
r300r900c,r2700f,,,AsQs6d3d7sTsQd,900|-900,sethi.muskan.4,DeepStack 
f,,,,JdTh3d4h,50|-50,DeepStack,sethi.muskan.1 
f,,,,Tc9h8hJs,50|-50,DeepStack,sethi.muskan.4 
k,r300f,,,7s5hJh6d8c7c2d,100|-100,sethi.muskan.4,DeepStack 
cr300c,cr900r2250f,,,9h9s5hJh3s9cQh,900|-900,sethi.muskan.1,DeepStack 
f,,,,QcQh9cTd,50|-50,DeepStack,sethi.muskan.4 
f,,,,AdTh4sQd,50|-50,DeepStack,sethi.muskan.1 
r200c,k,k,k,KhJdKc5hTs9s6h7h2d,200|-200,sethi.muskan.4,DeepStack 
f,,,,TcQs5c2s,50|-50,sethi.muskan.1,DeepStack 
k,k,k,k,Qd6cJcQh4cTd5sAh3c,-100|100,DeepStack,sethi.muskan.1 
cr300c,r900f,,,5c2c9h8h4dQh3c,300|-300,DeepStack,sethi.muskan.4 
f,,,,8h7d2h6d,50|-50,sethi.muskan.4,DeepStack 
f,,,,7c4sKs6d,50|-50,DeepStack,sethi.muskan.4 
f,,,,9s2h2s3h,50|-50,sethi.muskan.1,DeepStack 
f,,,,9c6sQc4s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6cTd3dAs,-100|100,sethi.muskan.4,DeepStack 
k,cr200f,,,3dTc4c8sKc4s2h,-100|100,sethi.muskan.1,DeepStack 
f,,,,AcQh7s4s,50|-50,DeepStack,sethi.muskan.4 
k,k,k,k,Tc5d2sQhJc2h4s7dAd,-100|100,sethi.muskan.4,DeepStack 
k,k,cr300f,,3cJsTcJc2c6h8s5c,-100|100,DeepStack,sethi.muskan.1 
f,,,,6sJc3d4c,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,Qd7sJs7c,-100|100,sethi.muskan.4,DeepStack 
r300f,,,,5dKcJsJc,-100|100,sethi.muskan.1,DeepStack 
f,,,,9dJc9c8s,50|-50,DeepStack,sethi.muskan.1 
r200c,r600c,cr1200c,r3600f,TcJdJcKc9hQh6s9cQd,1200|-1200,sethi.muskan.1,DeepStack 
r300f,,,,Kh3dAd4c,-100|100,DeepStack,sethi.muskan.1 
f,,,,7sJs7c6h,50|-50,DeepStack,sethi.muskan.4 
r300c,r750c,k,r2250c,7c9c8sTs8h7h6cQhTc,2250|-2250,sethi.muskan.1,DeepStack 
k,k,k,k,Th5d5sAh9hKs6c8sTs,100|-100,sethi.muskan.4,DeepStack 
f,,,,9d9c6dJs,50|-50,DeepStack,sethi.muskan.1 
cr300c,r600f,,,5h4h7hKh5d2cJh,300|-300,DeepStack,sethi.muskan.4 
f,,,,6d7c2c9d,50|-50,sethi.muskan.1,DeepStack 
f,,,,8dKd9h4d,50|-50,DeepStack,sethi.muskan.1 
r300c,cr600c,r1800c,r5400c,5sJsJhQhJd3h2c7c6h,-5400|5400,sethi.muskan.1,DeepStack 
r200f,,,,5h8cTcQh,-100|100,sethi.muskan.4,DeepStack 
f,,,,7cTs3hTh,50|-50,DeepStack,sethi.muskan.4 
cr300c,r750c,cr2250f,,2dAcJhTc9d4c2s9h,-750|750,sethi.muskan.4,DeepStack 
r200c,cr500f,,,5sThAc8d9c6d7h,-200|200,DeepStack,sethi.muskan.1 
r200f,,,,5hQd6s7h,-100|100,sethi.muskan.1,DeepStack 
f,,,,4s9h8d3c,50|-50,DeepStack,sethi.muskan.4 
f,,,,5dAh5h2c,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900f,,,JsJh6cJc7sQd8d,300|-300,sethi.muskan.4,DeepStack 
r200c,cr400f,,,4s8s7sTh6cQcTd,-200|200,sethi.muskan.1,DeepStack 
k,k,r200f,,8d4sQsKhAs2c7dJh,100|-100,DeepStack,sethi.muskan.4 
f,,,,6d8hKc7h,50|-50,DeepStack,sethi.muskan.1 
r300c,k,cr600f,,7d2d7c4s8sQh8d2s,-300|300,sethi.muskan.4,DeepStack 
k,r300f,,,TsKcJhKd8dTc3c,100|-100,sethi.muskan.1,DeepStack 
f,,,,9d3s4dTc,50|-50,DeepStack,sethi.muskan.4 
f,,,,4d4s4h9d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,7cQhTd6s,-100|100,sethi.muskan.4,DeepStack 
r250f,,,,4s2hJsJd,-100|100,DeepStack,sethi.muskan.4 
cr200c,r600f,,,AhKhTc2dJd7h9h,200|-200,sethi.muskan.1,DeepStack 
k,cr300f,,,9c3s8sAd4cJh6s,-100|100,sethi.muskan.4,DeepStack 
cr200c,k,cr600c,k,9d6cAc5d9h9s3d9c4s,600|-600,DeepStack,sethi.muskan.1 
f,,,,Ah4d7c8d,50|-50,DeepStack,sethi.muskan.4 
r300r500c,cr1000r3000f,,,KcKh5cKdQs3sKs,1000|-1000,sethi.muskan.4,DeepStack 
cr300c,k,cr900c,k,Jd9dJsKd5dAdTd8hTh,900|-900,DeepStack,sethi.muskan.4 
r200f,,,,3c8hAc7c,-100|100,sethi.muskan.1,DeepStack 
r200r300c,r750f,,,JhAh7hQhTcAd3s,300|-300,sethi.muskan.4,DeepStack 
f,,,,TsTh5cKh,50|-50,DeepStack,sethi.muskan.4 
r200r300c,r900f,,,Ad3s6d4c9dKcAc,300|-300,sethi.muskan.4,DeepStack 
f,,,,8sAhQh2c,50|-50,DeepStack,sethi.muskan.4 
r200c,cr600c,k,k,6d5dTc3cQh2d6c8dQs,600|-600,sethi.muskan.4,DeepStack 
cr300c,r600f,,,Th9h4s4dJd9dQh,300|-300,DeepStack,sethi.muskan.4 
r200f,,,,4h8cJdTd,-100|100,sethi.muskan.4,DeepStack 
f,,,,TdQd4h8d,50|-50,DeepStack,sethi.muskan.4 
cr250f,,,,TdAd9c4h,100|-100,sethi.muskan.4,DeepStack 
r200r600f,,,,5c6c2hAc,200|-200,DeepStack,sethi.muskan.4 
k,k,k,cr300f,6cKc4s9c2h3h8h9sTd,-100|100,sethi.muskan.4,DeepStack 
k,k,k,r200f,9d4sJcTc5c5hAh9sQh,100|-100,DeepStack,sethi.muskan.4 
r200f,,,,8sJc2hJh,-100|100,sethi.muskan.4,DeepStack 
k,k,k,r200f,2d8d2cKc6hQsQc4h7c,100|-100,DeepStack,sethi.muskan.4 
f,,,,2h3d2d5c,50|-50,sethi.muskan.4,DeepStack 
f,,,,6hQsJc2h,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,Ks6d2s2h,-100|100,sethi.muskan.4,DeepStack 
r300c,k,k,k,2h2sAc3sKc3c8d9cJs,-300|300,DeepStack,sethi.muskan.4 
r200f,,,,8cTs3cKs,-100|100,sethi.muskan.4,DeepStack 
f,,,,4h2c6dQs,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,3hJs3c8c,-100|100,sethi.muskan.4,DeepStack 
r200r600c,cr1800f,,,7c7h3sAs8sJcQs,-600|600,DeepStack,sethi.muskan.4 
r200c,k,k,k,5dKd6cKsTh3s3dJc7h,0|0,sethi.muskan.4,DeepStack 
k,k,k,r300r900f,9cKh6s7s2d9d5d3h8h,-300|300,DeepStack,sethi.muskan.4 
k,cr300c,k,k,7c5s4h9cAc2hQhAd7h,300|-300,sethi.muskan.4,DeepStack 
f,,,,2dQc9s3c,50|-50,DeepStack,sethi.muskan.4 
k,cr200c,cr600c,r1500c,7sJdTc4sTh7d6s3h2s,-1500|1500,sethi.muskan.4,DeepStack 
f,,,,Tc4c5hJd,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,8s9hAd3s,-100|100,sethi.muskan.4,DeepStack 
r200c,cr500f,,,3c8cAcKhAsQcAd,-200|200,DeepStack,sethi.muskan.4 
r300r500c,k,r1500f,,9dAc5c8dAh2h9s3c,500|-500,sethi.muskan.4,DeepStack 
f,,,,8d7d4c5h,50|-50,DeepStack,sethi.muskan.4 
k,k,cr200f,,2d7s2hTdJs3h4h4d,-100|100,sethi.muskan.4,DeepStack 
f,,,,AdAhJd8s,50|-50,DeepStack,sethi.muskan.4 
f,,,,Qs3d2s4h,50|-50,sethi.muskan.4,DeepStack 
cr200c,r400f,,,AcKdTcQs8c4d7d,200|-200,DeepStack,sethi.muskan.4 
r300f,,,,Jd6h5c7c,-100|100,sethi.muskan.4,DeepStack 
f,,,,7sTs9s7d,50|-50,DeepStack,sethi.muskan.4 
r200r300c,r900r2700f,,,As7h8dQs6d9d7d,-900|900,sethi.muskan.4,DeepStack 
r200r600r1500c,cr3750f,,,JsQhKcKh2d4h2c,-1500|1500,DeepStack,sethi.muskan.1 
f,,,,4d6d9dKh,50|-50,DeepStack,sethi.muskan.4 
r200f,,,,7dKcAc4h,-100|100,sethi.muskan.4,DeepStack 
r300c,r750f,,,3h2h5c8hQsKd7h,300|-300,sethi.muskan.1,DeepStack 
r200r600c,k,k,r1800c,AhQsQhKd9cAdTc8dKh,1800|-1800,DeepStack,sethi.muskan.1 
r300f,,,,5h9h4dTd,-100|100,sethi.muskan.1,DeepStack 
k,k,k,k,Kh6d7cTc4d9cJsAcQs,100|-100,DeepStack,sethi.muskan.1 
k,k,k,k,7c3s9dAs2s3hTs4d4h,100|-100,sethi.muskan.1,DeepStack 
f,,,,5s6s8h2c,50|-50,DeepStack,sethi.muskan.4 
r300c,r900c,r2700f,,9cKc7sKdQsQdKh8c,900|-900,sethi.muskan.4,DeepStack 
r300f,,,,Kc4h7s7h,-100|100,DeepStack,sethi.muskan.4 
f,,,,4c3h4sKs,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,9h7s7h3h,-100|100,sethi.muskan.4,DeepStack 
r300f,,,,3c2sQhAd,-100|100,sethi.muskan.1,DeepStack 
r250r750c,r1500c,r3000r7500c,cr18750f,9c9d8hQs6s2dQh8dTc,-7500|7500,DeepStack,sethi.muskan.4 
k,r250f,,,2cQh3hJcQs2sAh,100|-100,sethi.muskan.4,DeepStack 
r200r600c,r1200f,,,7c9c3hAdJs8s8h,600|-600,DeepStack,sethi.muskan.4 
cr300c,cr900c,cr2700c,cr8100c,7h9c2c3cJd7c5c7dAd,8100|-8100,DeepStack,sethi.muskan.1 
r200f,,,,3c8sKdQh,-100|100,sethi.muskan.4,DeepStack 
f,,,,6sKc4cJd,50|-50,DeepStack,sethi.muskan.4 
r300c,k,k,k,7sAhAc4cJcKh8d6dKd,0|0,sethi.muskan.4,DeepStack 
r200f,,,,3sTd8dJs,-100|100,sethi.muskan.1,DeepStack 
f,,,,2s3s3cQh,50|-50,DeepStack,sethi.muskan.4 
r200c,cr500c,cr1250c,cr3125r9375c,Tc6h7c7sTd8cThKhTs,9375|-9375,DeepStack,sethi.muskan.1 
r300f,,,,Tc3d8sAs,-100|100,sethi.muskan.4,DeepStack 
r300f,,,,8sKh7sKs,-100|100,sethi.muskan.1,DeepStack 
r300r900r2700c,cr8100c,r20000c,,KcJc5d3d4c6c9hJdQc,20000|-20000,DeepStack,sethi.muskan.1 
r300f,,,,9d5hThAs,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500f,,,5hKs3hAcJd7cJh,-200|200,DeepStack,sethi.muskan.1 
r200f,,,,9d5h3h5s,-100|100,sethi.muskan.1,DeepStack 
r200c,cr400r1200f,,,4d8d3dKdJh5d7c,400|-400,DeepStack,sethi.muskan.1 
cr300f,,,,2sTdQs2h,100|-100,sethi.muskan.1,DeepStack 
f,,,,2c7hJh6c,50|-50,DeepStack,sethi.muskan.1 
k,r20000f,,,8cQd4d3hTh2h8d,100|-100,sethi.muskan.1,DeepStack 
r200f,,,,8s4dQhQd,-100|100,DeepStack,sethi.muskan.1 
k,cr200f,,,6d7sAc9s8hKhKc,-100|100,sethi.muskan.1,DeepStack 
f,,,,9d4d7c6s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,3h7cAd5h,-100|100,sethi.muskan.1,DeepStack 
f,,,,Kd5s5c7h,50|-50,DeepStack,sethi.muskan.1 
k,k,k,cr300f,Tc5sQc2h7c5d9hQs4s,-100|100,sethi.muskan.1,DeepStack 
k,cr500c,cr2500f,,7dTsAh6s7s4s3s5d,-500|500,DeepStack,sethi.muskan.1 
k,k,k,cr500f,8hQc7s4cKc8sThAd9c,-100|100,sethi.muskan.1,DeepStack 
f,,,,Kd7d5hJh,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,5h6c9c9h,-100|100,sethi.muskan.1,DeepStack 
f,,,,Td2hTc4h,50|-50,DeepStack,sethi.muskan.1 
r200r600c,k,r1800f,,Qc2c9cQs6hTh5d9h,600|-600,sethi.muskan.1,DeepStack 
f,,,,7d3dJd5c,50|-50,DeepStack,sethi.muskan.1 
r300c,k,r750f,,5hQh2sKdJd6h7sQd,300|-300,sethi.muskan.1,DeepStack 
r300f,,,,5d3s5s2s,-100|100,DeepStack,sethi.muskan.1 
cr250c,r625c,k,cr1875f,Ah4dKh3cKcJh2sKd9h,-625|625,sethi.muskan.1,DeepStack 
f,,,,As9h5cTd,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r2250c,k,k,As6sTdKd5h2d9d4h9c,2250|-2250,sethi.muskan.1,DeepStack 
f,,,,2s6s7sTc,50|-50,DeepStack,sethi.muskan.1 
r200c,cr400c,k,r1200c,Ks9sAd8h3sTh3d6cJh,-1200|1200,sethi.muskan.1,DeepStack 
r200c,cr600f,,,9dJhTsTc8s2cKh,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,4h7dAdKd,-100|100,sethi.muskan.1,DeepStack 
f,,,,Tc2s8d3s,50|-50,DeepStack,sethi.muskan.1 
cr250c,r500f,,,As2h5cAh6s2s8c,250|-250,sethi.muskan.1,DeepStack 
f,,,,8cJh2c7s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,2s9d4cJd,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600f,,,Jc3hAcTc7c6hTs,-200|200,DeepStack,sethi.muskan.1 
r300c,r900f,,,Th8h7hJs3s8d5h,300|-300,sethi.muskan.1,DeepStack 
f,,,,4dJcKd8h,50|-50,DeepStack,sethi.muskan.1 
cr200c,cr600f,,,2d2h9sQdTh8c7s,-200|200,sethi.muskan.1,DeepStack 
f,,,,7sTc7hKd,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,8hQd8c2c,-100|100,sethi.muskan.1,DeepStack 
f,,,,KsKh9h4c,50|-50,DeepStack,sethi.muskan.1 
r200r1000c,r3000f,,,Ad3dAhQs8c7s9s,1000|-1000,sethi.muskan.1,DeepStack 
f,,,,8h9h2h8d,50|-50,DeepStack,sethi.muskan.1 
k,cr300f,,,2sTdJd8d5h6c8h,-100|100,sethi.muskan.1,DeepStack 
f,,,,7c6s5dKs,50|-50,DeepStack,sethi.muskan.1 
r300c,cr600f,,,5h8h4d5sJd5dKc,-300|300,sethi.muskan.1,DeepStack 
f,,,,7h6hTh2c,50|-50,DeepStack,sethi.muskan.1 
r200r300r900f,,,,Qs3hAhQh,-300|300,sethi.muskan.1,DeepStack 
cr300c,r600r1800f,,,AcJs8d4dQs5d2s,-600|600,DeepStack,sethi.muskan.1 
r300f,,,,2hTsKs5d,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600c,k,k,9dAh6d6s9c9sTsJhJd,600|-600,DeepStack,sethi.muskan.1 
r300f,,,,4h3dAh9s,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600f,,,9h6dKdAd2d3c4s,-200|200,DeepStack,sethi.muskan.1 
r200r600f,,,,2cAh6dJs,200|-200,sethi.muskan.1,DeepStack 
r200c,k,r400r1000f,,5dQhJhTc6c4d8d4s,-400|400,DeepStack,sethi.muskan.1 
cr500c,r1500c,k,r4500r20000f,5s5h8sAc8h9c2c6cKc,-4500|4500,sethi.muskan.1,DeepStack 
f,,,,Kd3c8c9d,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900c,cr1800f,,7h3h6c5d5c8h3d4s,-900|900,sethi.muskan.1,DeepStack 
r20000f,,,,6h9sAd3d,-100|100,DeepStack,sethi.muskan.1 
r200c,k,k,r1000f,8cJh5dAd6c8sQd8d9c,200|-200,sethi.muskan.1,DeepStack 
k,cr300f,,,2cJh2hQhTh9s9c,-100|100,DeepStack,sethi.muskan.1 
r200r600c,r1800f,,,TcQcJcTs8h3s5c,600|-600,sethi.muskan.1,DeepStack 
r200r600c,cr3000f,,,Js8sKc5sKd8hTh,-600|600,DeepStack,sethi.muskan.1 
r300r20000f,,,,4d4hTsJh,300|-300,sethi.muskan.1,DeepStack 
f,,,,8c7d6d5h,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r20000f,,,6dJd4s4d6sKdTd,900|-900,sethi.muskan.1,DeepStack 
r200r600r1000c,cr20000f,,,TdThKcAsQdAcKs,-1000|1000,DeepStack,sethi.muskan.1 
cr200c,r600c,k,r1800c,AhJc3hTs5s4cTdQs9h,-1800|1800,sethi.muskan.1,DeepStack 
f,,,,7d3c8d5s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6s5cKs3d,-100|100,sethi.muskan.1,DeepStack 
f,,,,8c7s4sTh,50|-50,DeepStack,sethi.muskan.1 
r200r600c,cr1200r3600c,r10800f,,3hKc9hTc2s8c9c4c,3600|-3600,sethi.muskan.1,DeepStack 
r300f,,,,Js6d7hTs,-100|100,DeepStack,sethi.muskan.1 
r300c,k,r1500f,,8dTc5s7hQc7c6cQd,300|-300,sethi.muskan.1,DeepStack 
r300f,,,,Kh3sTs4s,-100|100,DeepStack,sethi.muskan.1 
r200f,,,,8c4s6c6h,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,2h7c3hKd,-100|100,DeepStack,sethi.muskan.1 
f,,,,2s5d2c8d,50|-50,sethi.muskan.1,DeepStack 
f,,,,4hTd6d3h,50|-50,DeepStack,sethi.muskan.1 
cr500f,,,,KcTs2hTd,100|-100,sethi.muskan.1,DeepStack 
r300f,,,,Tc3sQs8d,-100|100,DeepStack,sethi.muskan.1 
cr500f,,,,TsKs9h4s,100|-100,sethi.muskan.1,DeepStack 
f,,,,2c6d3dTc,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5h8s7dJs,-100|100,sethi.muskan.1,DeepStack 
f,,,,Ah8c9d6s,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r2700c,r8100c,r20000c,Kh5hQhJc7d3hQd9c2c,-20000|20000,sethi.muskan.1,DeepStack 
r20000f,,,,4dKc2dAh,-100|100,DeepStack,sethi.muskan.1 
f,,,,Qd7s2d8c,50|-50,sethi.muskan.1,DeepStack 
f,,,,5h3d8c7s,50|-50,DeepStack,sethi.muskan.1 
r300r20000f,,,,Qd3d8sTh,300|-300,sethi.muskan.1,DeepStack 
r200r600f,,,,9hTh6s7c,200|-200,DeepStack,sethi.muskan.1 
r300r20000f,,,,6dAsThAh,300|-300,sethi.muskan.1,DeepStack 
r200c,k,r400f,,9s6h9cAc7sJh5s8s,200|-200,DeepStack,sethi.muskan.1 
r300f,,,,Th5c3sJs,-100|100,sethi.muskan.1,DeepStack 
f,,,,Ks3h4d2c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,7cThAcJc,-100|100,sethi.muskan.1,DeepStack 
f,,,,Kc7c9sJc,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,4c2dJcTd,-100|100,sethi.muskan.1,DeepStack 
f,,,,KsQh7d3h,50|-50,DeepStack,sethi.muskan.1 
cr500f,,,,8d6c4h7d,100|-100,sethi.muskan.1,DeepStack 
r300c,cr900c,k,k,JhTc2h5hTsAc9h8s5d,900|-900,DeepStack,sethi.muskan.1 
r200c,r600c,cr1200c,cr3600f,3c5c8sQcThJs3s2h6d,-1200|1200,sethi.muskan.1,DeepStack 
r300f,,,,7cTh5h9h,-100|100,DeepStack,sethi.muskan.1 
r200c,r600r1800f,,,ThJc5cJhTsKc9d,-600|600,sethi.muskan.1,DeepStack 
r20000f,,,,ThJdKh4h,-100|100,DeepStack,sethi.muskan.1 
r300c,cr900r2700f,,,QcQhKc8d7d5hTd,900|-900,sethi.muskan.1,DeepStack 
f,,,,2d9s2s9d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5h9s5sJs,-100|100,sethi.muskan.1,DeepStack 
r20000f,,,,3d7sQsKc,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,2dTh3s5h,-100|100,sethi.muskan.1,DeepStack 
f,,,,9c5s4hKd,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6c2s7sAs,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600f,,,Qs2dAsKsJh7c7h,-200|200,DeepStack,sethi.muskan.1 
r200f,,,,7d2h7sKs,-100|100,sethi.muskan.1,DeepStack 
f,,,,9d4dTd9s,50|-50,DeepStack,sethi.muskan.1 
r200r600r1800c,cr3600f,,,Qh5sKdTc6c4sTd,-1800|1800,sethi.muskan.1,DeepStack 
r500c,cr2500f,,,6sJs2s8s3d5cKh,-500|500,DeepStack,sethi.muskan.1 
cr300f,,,,9h2dTs3c,100|-100,sethi.muskan.1,DeepStack 
f,,,,Ts5h3c6d,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,7s4c6s4d,-100|100,sethi.muskan.1,DeepStack 
f,,,,6d9d2d4c,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900c,r2700f,,Ac2c6c9hAh9cQdKh,900|-900,sethi.muskan.1,DeepStack 
f,,,,Ah5s2c7s,50|-50,DeepStack,sethi.muskan.1 
k,k,k,k,7c4h4s9cThJcKhJhAs,0|0,sethi.muskan.1,DeepStack 
r200f,,,,Ts3dAcQs,-100|100,DeepStack,sethi.muskan.1 
k,r500c,r2500f,,4h9hKcJh2h8hTdAc,500|-500,sethi.muskan.1,DeepStack 
f,,,,4h3s6h2c,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,6c5h8dJc,-100|100,sethi.muskan.1,DeepStack 
r300c,cr900f,,,7c5cQd9dJd3h8d,-300|300,DeepStack,sethi.muskan.1 
