PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300c,cr900c,cr2700f,,9h5h6c4d9sJh6s6d,-900|900,DeepStack,parlavecchio.antonio.3 
r200c,r600c,r1800f,,7hJh3d3sTh7d7c8s,600|-600,parlavecchio.antonio.3,DeepStack 
k,cr300f,,,7s4d6d9cJhQcKc,-100|100,DeepStack,parlavecchio.antonio.3 
r300c,r900c,r2700f,,5hJh3h4c4dQc5cJc,900|-900,parlavecchio.antonio.3,DeepStack 
r200c,k,r400f,,2s6sTh3s6dKsKd4s,200|-200,DeepStack,parlavecchio.antonio.3 
r200f,,,,Tc4hJsKd,-100|100,parlavecchio.antonio.4,DeepStack 
r300f,,,,2d9cKcTs,-100|100,DeepStack,parlavecchio.antonio.4 
f,,,,4hTc2c4s,50|-50,parlavecchio.antonio.4,DeepStack 
r300f,,,,Ks4d5hKc,-100|100,DeepStack,parlavecchio.antonio.4 
cr300c,r900c,k,k,6dAs5d8h5s7dKd7h4s,-900|900,parlavecchio.antonio.3,DeepStack 
r300f,,,,Ts5h9cAc,-100|100,parlavecchio.antonio.4,DeepStack 
r300f,,,,Td3c7sQs,-100|100,DeepStack,parlavecchio.antonio.4 
k,k,k,cr500f,9d6cTd5h3dTs8s3c5c,-100|100,parlavecchio.antonio.4,DeepStack 
f,,,,JdKh5h3c,50|-50,DeepStack,parlavecchio.antonio.4 
r250c,cr750c,k,r1500f,JcThQc8s2d9sJh9c2h,750|-750,DeepStack,parlavecchio.antonio.3 
r300f,,,,5sTc7c8d,-100|100,parlavecchio.antonio.4,DeepStack 
r300c,k,k,k,KdJc3dAd2c9s7dQc9d,-300|300,DeepStack,parlavecchio.antonio.4 
k,cr300c,cr900f,,9sQc4h5d6c7hTc5s,-300|300,parlavecchio.antonio.4,DeepStack 
r250c,cr750f,,,6hJdAcAh5h8s9h,-250|250,DeepStack,parlavecchio.antonio.4 
r300f,,,,7c3d5s5h,-100|100,parlavecchio.antonio.4,DeepStack 
r200r1000f,,,,4sAd6hQs,200|-200,parlavecchio.antonio.3,DeepStack 
cr300c,r900f,,,KhTs2dQs9sJsAc,300|-300,DeepStack,parlavecchio.antonio.3 
