PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
cr300c,r600f,,,7s4s9d6sQs3cTd,300|-300,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,cr1200c,cr2400r4800f,7dAcTd4dAs9dAd8s7c,2400|-2400,lesnoy.dmitry.1,DeepStack 
r300c,cr600c,k,k,4dAcAs9h5d4sTc6sTd,600|-600,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,8d5dQd4h9hKh6h,-300|300,lesnoy.dmitry.1,DeepStack 
r250c,cr500c,k,k,6cJcAcKs7h6d2h3s5d,500|-500,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,3c7h4cThAcQs9h,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,k,cr750c,k,9c8h3sKsJc9d6c4h9s,750|-750,DeepStack,lesnoy.dmitry.1 
k,k,r250c,cr750c,6s3h6h7d8s9dAc3d2h,750|-750,lesnoy.dmitry.1,DeepStack 
cr300c,k,cr750f,,3cQcKh5h4d8d4s9s,-300|300,DeepStack,lesnoy.dmitry.1 
k,cr300f,,,Td2s7cQs5c7dKs,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,Kd7c3c8h,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,r1250f,Jd9c4cAcQs6d8sQh3c,500|-500,lesnoy.dmitry.1,DeepStack 
r300f,,,,Td4s8hKs,-100|100,DeepStack,lesnoy.dmitry.1 
k,cr200c,k,cr600r1800c,JdJs3hJc7cKhJh5c2d,1800|-1800,lesnoy.dmitry.1,DeepStack 
f,,,,9s7c3h9d,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,cr400f,,,9h4cJh4s6cKs5d,-200|200,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,k,Ac9s4hKhTdQsQc7d3h,750|-750,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,Tc4c3c4hJs3hAh,-100|100,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,Js2h6dKc4h6s4s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,k,r1500c,QcKdAhAs2h6c2c5d3h,-1500|1500,lesnoy.dmitry.1,DeepStack 
r300c,k,r600c,k,6dJd9hJh4s7d5h9sQs,-600|600,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r600c,5h3sAhThJd4s8hQcQd,-600|600,lesnoy.dmitry.1,DeepStack 
r300c,cr750r2250f,,,8h7dAc4d8d2s8c,750|-750,DeepStack,lesnoy.dmitry.1 
cr300f,,,,AsKh3c6h,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,k,cr750c,cr1875c,JcTdThJhKs6dTs2h8c,0|0,DeepStack,lesnoy.dmitry.1 
cr390f,,,,3h3c5d8h,100|-100,lesnoy.dmitry.1,DeepStack 
k,k,r300f,,7sQdTd2h4c3h4d6d,100|-100,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,k,9d8h8d7c3s8sJh5sAd,750|-750,lesnoy.dmitry.1,DeepStack 
r250f,,,,4dJh8c4c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,r2250c,5c7cKsQc9sJd2hQh7d,-2250|2250,lesnoy.dmitry.1,DeepStack 
cr300c,cr750f,,,Ah7hKsAcKdQd8h,-300|300,DeepStack,lesnoy.dmitry.1 
r300f,,,,3sQc2c4c,-100|100,lesnoy.dmitry.1,DeepStack 
r250f,,,,2dJcAsAc,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,KsAs9s2d,50|-50,lesnoy.dmitry.1,DeepStack 
k,cr200f,,,Jh3sJc7s5d5c2c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,r500c,r1250f,,Ks6c5hAd5s3c7cJc,500|-500,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,r1500c,QhTd8c6c3d8d5d5cQs,1500|-1500,DeepStack,lesnoy.dmitry.1 
r200c,r500c,r1250c,k,Qh3h7d7c3s8c6hAs4d,-1250|1250,lesnoy.dmitry.1,DeepStack 
f,,,,Ac8d6cTs,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,r750c,r2250f,,Qd5dJc4d2cJsKdKs,750|-750,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,k,Qd2d4c2c2h5dAsTs6d,900|-900,DeepStack,lesnoy.dmitry.1 
r300r750c,r1500c,k,k,KsJhKd7dAhAd3hKh5c,1500|-1500,lesnoy.dmitry.1,DeepStack 
r300f,,,,Js4dAs3s,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900r20000c,,,,AcKhAdKsKd7hAh3c2h,0|0,lesnoy.dmitry.1,DeepStack 
r250c,cr625f,,,8sQdAh4h5s9s2c,-250|250,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,r1875r20000f,6c5c8d9h7sQcAc6d5h,-1875|1875,lesnoy.dmitry.1,DeepStack 
f,,,,QhTcJh5d,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,7s4c5cTd,-100|100,lesnoy.dmitry.1,DeepStack 
k,k,cr300r600c,r1200f,Ah4s7hTcAs4c8h6cKc,600|-600,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r750c,2sJsQd8hKd3h6h3c8s,-750|750,lesnoy.dmitry.1,DeepStack 
r300c,k,cr750c,r1500f,9d5dAdQdTh7h9hTdJh,750|-750,DeepStack,lesnoy.dmitry.1 
cr20000f,,,,Jh9c3c4d,100|-100,lesnoy.dmitry.1,DeepStack 
r500f,,,,5hTc2sJs,-100|100,DeepStack,lesnoy.dmitry.1 
r200f,,,,7h2sQcJd,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,3hTd8h3s,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900c,r20000f,,,6cQsAh8hJd6s5c,900|-900,lesnoy.dmitry.1,DeepStack 
r20000f,,,,6c2d2hKs,-100|100,DeepStack,lesnoy.dmitry.1 
r300r1500f,,,,AhKs6h9s,300|-300,lesnoy.dmitry.1,DeepStack 
k,cr300c,cr1500c,k,Ks7h8cKd7sKh4d8sTc,-1500|1500,DeepStack,lesnoy.dmitry.1 
r300c,r750f,,,7s4c6c5c7dTd6d,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,Kd9cJdAhAc4dQd,-300|300,DeepStack,lesnoy.dmitry.1 
k,r300c,r750c,k,3cJdJh6s9s3d6hKd2d,-750|750,lesnoy.dmitry.1,DeepStack 
r300f,,,,3dQhJsTs,-100|100,DeepStack,lesnoy.dmitry.1 
r200r1000c,r20000f,,,Ac2dJhTcKdThQh,1000|-1000,lesnoy.dmitry.1,DeepStack 
r300c,k,r600r1800c,cr9000f,6c8s5s9s8c7d4hJh3c,-1800|1800,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,8dThTd4dKh9hKs,200|-200,lesnoy.dmitry.1,DeepStack 
r300r900c,k,cr2250f,,Ac8cAhTh6d2dTdKd,-900|900,DeepStack,lesnoy.dmitry.1 
k,r250c,cr750f,,7c2s3hTc8cJd2cQh,-250|250,lesnoy.dmitry.1,DeepStack 
k,cr500f,,,Kd3hQs5d7c3cQh,-100|100,DeepStack,lesnoy.dmitry.1 
cr500c,r1500c,cr3000f,,Qs2sQd8d4c4d3h7s,-1500|1500,lesnoy.dmitry.1,DeepStack 
f,,,,Ac4h2c6s,50|-50,lesnoy.dmitry.1,DeepStack 
r250r750f,,,,7s5s8cJs,250|-250,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,4dThKc3sQd7h2s,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,2sQcKsAd,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,3h5cTd6d,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,r1500c,9cJs9dAh5dJd6s3c6h,1500|-1500,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,TcJc5hJs,300|-300,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,8sKdQh2dKc9h4c,300|-300,DeepStack,lesnoy.dmitry.1 
k,r300r900r2700c,r20000f,,4d5h8cAh3d8s2h5s,2700|-2700,lesnoy.dmitry.1,DeepStack 
r250f,,,,4c7d2cKc,-100|100,DeepStack,lesnoy.dmitry.1 
r200r400c,k,r800c,r1600f,KcKhQhThJsKs8c5d3h,800|-800,lesnoy.dmitry.1,DeepStack 
f,,,,9d8cTd3s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r750c,3c8cQc8d5c5sQsKh9s,-750|750,lesnoy.dmitry.1,DeepStack 
k,cr300r600f,,,4s6cTc7s4dKc6d,300|-300,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,k,r1500c,9h8cQd5dAc6sTdQh5s,-1500|1500,lesnoy.dmitry.1,DeepStack 
r250f,,,,Jc2hQdAh,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,5sTh3c3d,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,4h3sKdAc,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,k,k,7h4h7c7dQdJs9sAsAc,-200|200,lesnoy.dmitry.1,DeepStack 
f,,,,4s8h8d2c,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,r600c,k,Kc4hJh5h2sQhJdQsAc,-600|600,lesnoy.dmitry.1,DeepStack 
r300f,,,,Qh4dQsKs,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,2sKcQh6s,300|-300,lesnoy.dmitry.1,DeepStack 
r250f,,,,6cJdAc8d,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr400f,,,7s9dKc9hTh2h3d,-200|200,lesnoy.dmitry.1,DeepStack 
r300f,,,,3dKhAsTd,-100|100,DeepStack,lesnoy.dmitry.1 
r200r600f,,,,4sJc6sJd,200|-200,lesnoy.dmitry.1,DeepStack 
r250r750f,,,,7hJhJc6h,250|-250,DeepStack,lesnoy.dmitry.1 
r300f,,,,9c5dAs6c,-100|100,lesnoy.dmitry.1,DeepStack 
cr300r900f,,,,9hJc2hKh,-300|300,DeepStack,lesnoy.dmitry.1 
cr250c,r750c,r2250f,,6d7dKd3cAd4dTsQh,750|-750,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,4sAdJhJcKs8hTs,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,k,r600f,,5cAs4dQhTs2h9sAd,200|-200,lesnoy.dmitry.1,DeepStack 
cr300c,cr900f,,,9dKd5d3dJh7h5c,-300|300,DeepStack,lesnoy.dmitry.1 
k,cr300f,,,Ts3sQd2s2c5s7d,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,5dTs5c7h,-100|100,DeepStack,lesnoy.dmitry.1 
k,r300c,r900c,cr2700c,Jd8h8s5c7h5h8cTd3d,-2700|2700,lesnoy.dmitry.1,DeepStack 
k,r200r600f,,,5d3hAdKc6cKdTd,-200|200,DeepStack,lesnoy.dmitry.1 
k,r250r500c,cr1500f,,8d5h6d5c7d4s2d7s,-500|500,lesnoy.dmitry.1,DeepStack 
f,,,,5c3dTs4h,50|-50,DeepStack,lesnoy.dmitry.1 
cr300c,r750r1500r2250c,k,k,8cAs4cKc4d6s6c7dKh,-2250|2250,lesnoy.dmitry.1,DeepStack 
k,k,r200f,,8c5dQh3d5h6s9s6c,100|-100,DeepStack,lesnoy.dmitry.1 
r300r900c,k,r2700f,,As5h7sKh9cJc8dAd,900|-900,lesnoy.dmitry.1,DeepStack 
r300f,,,,Jc3dKc2h,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,6c8s4cKs6h3hJh,200|-200,lesnoy.dmitry.1,DeepStack 
k,cr500c,k,k,9sKd6h3cJcTd6s9cAs,500|-500,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r750r3750f,6s7d6h9cQcTdAs7h8c,-750|750,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,cr2700f,,Ts8c4dJd7cJsTcQd,-900|900,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,6hKh6d8c,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,Ks2hAh9c,-100|100,DeepStack,lesnoy.dmitry.1 
cr300f,,,,9hAh2dTs,100|-100,lesnoy.dmitry.1,DeepStack 
f,,,,7s2h3s2c,50|-50,DeepStack,lesnoy.dmitry.1 
k,r200f,,,6sJh8c2c4d4s4h,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,k,cr750c,cr2250c,Ks3sQc8s9dKd5h6c3d,2250|-2250,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,7d8c3hAdJsQh3c,-300|300,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,Ah2s5hAdJcJh3c,-300|300,DeepStack,lesnoy.dmitry.1 
cr300f,,,,Ah6sQh2c,100|-100,lesnoy.dmitry.1,DeepStack 
r300r900c,r2700f,,,ThKh4c2cQh9hAd,900|-900,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,r2250c,cr4500c,Kd7sJhTd6sTc9d9sTs,-4500|4500,lesnoy.dmitry.1,DeepStack 
r300c,cr750f,,,Td2dThKc5c3s6d,-300|300,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,Ac8d8hTd,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900r1800c,k,k,As7c2sKcTcTh3s6sJh,1800|-1800,DeepStack,lesnoy.dmitry.1 
cr300c,cr600c,r1800c,r4500r20000f,JcKh4hAd9d5s6dJdTs,-4500|4500,lesnoy.dmitry.1,DeepStack 
f,,,,8sTh4s8d,50|-50,DeepStack,lesnoy.dmitry.1 
cr300f,,,,Ac4c3cTs,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,5c8h7s4s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,cr900r2700f,,7h6hAh7sQcTs5h3s,900|-900,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,cr2250c,8sTdQsAh8d3cKhJhAd,-2250|2250,DeepStack,lesnoy.dmitry.1 
cr300r900c,cr2700f,,,8hAdKs9sQcJs3s,-900|900,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,5d2s4s6hQs9hAc,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500r1500c,cr4500c,6d9s5s4d2s7cKd6c7h,4500|-4500,lesnoy.dmitry.1,DeepStack 
r300f,,,,2s3c9h9d,-100|100,DeepStack,lesnoy.dmitry.1 
k,r300c,r900c,k,Qh3hKd7dQdTh2d7c9c,900|-900,lesnoy.dmitry.1,DeepStack 
f,,,,5sJs2h9s,50|-50,DeepStack,lesnoy.dmitry.1 
k,r200c,r300f,,5s7dJs2d6dQsQc5d,200|-200,lesnoy.dmitry.1,DeepStack 
r200f,,,,3cTh3h5h,-100|100,DeepStack,lesnoy.dmitry.1 
k,k,r300c,r900f,Qh3h4s8cTd2c4hQd6h,300|-300,lesnoy.dmitry.1,DeepStack 
r500f,,,,2sKh4s4h,-100|100,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,r2700c,r8100f,Ac9dQd9sAd8h9cAh8d,2700|-2700,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,k,5sKd7d7cAcJcKs9s4s,900|-900,DeepStack,lesnoy.dmitry.1 
r300c,k,r900f,,4cAd4s5d5sAh7hQh,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,k,k,Jh9d5h6s9s6dQc9c8s,500|-500,DeepStack,lesnoy.dmitry.1 
r300c,k,r900c,r2700c,2dTdAd7dTh4h2sAs2h,2700|-2700,lesnoy.dmitry.1,DeepStack 
r300r600c,cr1500f,,,4c4h6cTc9sTs7h,-600|600,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,3s2hAc4h8c8d9h,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,5hQh2s8c,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,cr600c,r1800c,7d5sJd8hTs4dTc8d8s,-1800|1800,lesnoy.dmitry.1,DeepStack 
cr300c,k,k,k,Kc7c7hJdQdAd5s9c4h,300|-300,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,5dAc2h8h,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,6c4dQc8c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r900f,,,8hThJd3d5c9c6h,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,2cAs5h8c,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,6dAh9d2s,50|-50,lesnoy.dmitry.1,DeepStack 
r250c,k,cr500c,cr1250c,Qs9dKc4h6d9s2c2sKh,-1250|1250,DeepStack,lesnoy.dmitry.1 
r200c,k,k,k,Th5c5s5d9sAc3c7dAh,-200|200,lesnoy.dmitry.1,DeepStack 
f,,,,Jd7c9d4c,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,4hJd6dQd,-100|100,lesnoy.dmitry.1,DeepStack 
k,k,k,cr200c,9cQs6c8h2hTsTh4s2c,200|-200,DeepStack,lesnoy.dmitry.1 
r300c,r900r1800f,,,9dKcQhThTd4h6c,-900|900,lesnoy.dmitry.1,DeepStack 
k,k,cr250f,,5c2d7cTcQh8s6sAd,-100|100,DeepStack,lesnoy.dmitry.1 
r200r600c,r1800r5400r20000f,,,TsAh9d8hTd8c7s,5400|-5400,lesnoy.dmitry.1,DeepStack 
f,,,,9c8c2d7h,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,Tc3hJh7c,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,7h6cJs3c,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,k,k,k,4dJh5cAc3dTc6hQd4s,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,4d9hAcKh,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,Ks4d9c9dAd6s7h,-300|300,lesnoy.dmitry.1,DeepStack 
k,cr300c,k,k,4cAs5hQcJhKdJs6s3c,300|-300,DeepStack,lesnoy.dmitry.1 
cr300f,,,,TcKs4s9d,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,2h5cQd7h,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr900c,k,r1800f,4s5sQs4hAs2d4c8h2c,900|-900,lesnoy.dmitry.1,DeepStack 
f,,,,3s4s7h3d,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,AdTh8c5s,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,cr2700c,k,Ks6sQh7c2s7s9d3c9c,-2700|2700,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,k,r1800f,Qd7d2c9cThQs5c2sQc,600|-600,lesnoy.dmitry.1,DeepStack 
k,cr300c,k,k,Ad7s7d3d9s7cAsJdTd,300|-300,DeepStack,lesnoy.dmitry.1 
r200r600r1200c,k,k,cr3600f,JcTs5h7d7cAc5c3sQs,-1200|1200,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,cr2250c,Qs6sKsTh9hQh5d7dKd,-2250|2250,DeepStack,lesnoy.dmitry.1 
r300c,k,r900c,cr2700f,9s6hJh6s7dQhTs9d2d,-900|900,lesnoy.dmitry.1,DeepStack 
f,,,,4d8d2d9s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,Jh2h9d3s,50|-50,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,cr4500c,k,6d6cJcTh6hJd4s3c4c,4500|-4500,DeepStack,lesnoy.dmitry.1 
k,r200f,,,8sKc4sJd3c5c5h,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr600c,cr1800c,cr3600c,Js4sJhTc3cJc6sTh3s,-3600|3600,DeepStack,lesnoy.dmitry.1 
r300c,k,r750f,,3d9d2dAc6s9h8sKc,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,k,r600f,,Qd8h4hKd7c5c8dQh,200|-200,DeepStack,lesnoy.dmitry.1 
r300f,,,,4c2sQsKh,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,8c8d5c9s,50|-50,DeepStack,lesnoy.dmitry.1 
cr250c,r750c,k,k,4d5d5c9s9hAd7h8c8h,-750|750,lesnoy.dmitry.1,DeepStack 
f,,,,6cQd3sTh,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,cr1200r3000f,,3cKhTc9cKc4sKs9h,1200|-1200,lesnoy.dmitry.1,DeepStack 
cr300f,,,,7h9c5c2d,100|-100,DeepStack,lesnoy.dmitry.1 
r300c,r900f,,,5cKs7s3s5h9d9s,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,Qd2dAs9h5hTc8c,-300|300,DeepStack,lesnoy.dmitry.1 
r300r750c,r2250c,k,r5625c,AdAs8c6s3d8dJcJh7h,5625|-5625,lesnoy.dmitry.1,DeepStack 
f,,,,7sKs3d8s,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,k,k,r600f,4h3d5d7dKh9sQhAd3h,200|-200,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,5cQsJh5h9cJcAh,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,k,8sKd3c5sKs9d3dAsJd,500|-500,lesnoy.dmitry.1,DeepStack 
r300f,,,,3d4hKsJc,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,7c4hKhKc,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,k,Qd9s7h7sAdJs8c2hQh,900|-900,DeepStack,lesnoy.dmitry.1 
r300c,k,r750r1500f,,2hKh5d4s3c4c7h5c,-750|750,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,2cJd8dThQsKs5c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr900f,,,2d8dTcQsThQd3h,-300|300,lesnoy.dmitry.1,DeepStack 
k,cr300c,cr750c,cr1875f,Jh3c4hTh7h3h9h9sTd,-750|750,DeepStack,lesnoy.dmitry.1 
r200c,cr400f,,,4d2c6d4hQhTdQd,-200|200,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,k,r5400f,QsKdQhTsJd6s6cKh8c,1800|-1800,DeepStack,lesnoy.dmitry.1 
r200r600c,r1800c,r4500f,,9sKsJc2c9h5c7c6s,1800|-1800,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,8c2cKc7c7d3d6d,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,cr900f,,,2hQd6c8c4dJhAc,-300|300,lesnoy.dmitry.1,DeepStack 
k,k,cr300f,,Qs2cJs4d9dKc8sAc,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900c,r2700c,r8100f,,KcAd3sJs7d9sAs6h,2700|-2700,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1500c,cr3750c,k,Kc9cQd7h7s8s6h5c6d,3750|-3750,DeepStack,lesnoy.dmitry.1 
f,,,,9d5d2d3c,50|-50,lesnoy.dmitry.1,DeepStack 
r300f,,,,3h2sAs5s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r750f,,,5sAd8sJc7d4c3d,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Ks9c8sQcAd6h4c,-200|200,DeepStack,lesnoy.dmitry.1 
r300f,,,,5sThTs7s,-100|100,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,Jh4d2c4h8s5c3c,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,Jd6s5hKs,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,Qh2dAhAc5c7d8d,-200|200,DeepStack,lesnoy.dmitry.1 
r300f,,,,2d3hQd7s,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,3hQs3dKd,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250f,,,3h3s3d7dAs2h2s,900|-900,lesnoy.dmitry.1,DeepStack 
r300f,,,,8h2d5hQh,-100|100,DeepStack,lesnoy.dmitry.1 
k,r300f,,,Tc3s3dJhAhTd6h,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,5sQhAc9c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r750f,,2cJc9h3h2s7dKs7c,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,Kc2s7d6d,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,cr900f,,Tc8h9hTd7d6sKcQd,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,Ts8s5h2d,50|-50,DeepStack,lesnoy.dmitry.1 
k,r200f,,,6s4c3sQhKs5hKc,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,k,cr900f,,Kh6dKd2c9d5hQhAd,-300|300,DeepStack,lesnoy.dmitry.1 
f,,,,8dKc8h2s,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,Ad7dTh4c,50|-50,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,r2700c,r6750c,AdQhTs8c9h3hQcJdQs,-6750|6750,lesnoy.dmitry.1,DeepStack 
r500f,,,,6d9c4c5h,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,r600c,r1800c,r3600f,3hAhAd5d3d2d6h7s9c,1800|-1800,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,8d6hKhKs9h4hTd,-200|200,DeepStack,lesnoy.dmitry.1 
k,r300f,,,3s2h4c7dKd2d9c,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,Jc6dQd2c,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r900f,,,3sQs4d4c9c5s2h,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,cr2250r4500c,Kc3cTc9s8cQc7s9c4c,4500|-4500,DeepStack,lesnoy.dmitry.1 
k,k,r200f,,9dJcTh2sAsAc8sQh,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,8c6hQsQc,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,cr400r1000f,,Jh3hJs5dAcKd6c8c,400|-400,lesnoy.dmitry.1,DeepStack 
r200f,,,,4h9sQs4d,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,r2250c,5h3cAd8c7h6c9h4cAc,2250|-2250,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,5c4d6h8sKdQdAh,-300|300,DeepStack,lesnoy.dmitry.1 
r300r900c,k,r2250c,r6750c,4c4sKd9cJs9dQsTdJh,-6750|6750,lesnoy.dmitry.1,DeepStack 
r300r900r2700f,,,,8hTh3h3d,-900|900,DeepStack,lesnoy.dmitry.1 
r200c,k,r600c,cr1800c,5d2dTh7c3cKh2h9hKc,1800|-1800,lesnoy.dmitry.1,DeepStack 
k,cr300c,k,cr900f,Ks5dQh2s4c2c6s5s3h,-300|300,DeepStack,lesnoy.dmitry.1 
r300f,,,,4c2dQhJh,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,Td4cAh5h,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r750c,4s9s5sAh6d7cAs2sTd,-750|750,lesnoy.dmitry.1,DeepStack 
f,,,,8hKs3h9c,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,Ac8s8d2c,50|-50,lesnoy.dmitry.1,DeepStack 
r300c,k,r600c,k,QsTc9s6s7c4s2c3c2h,600|-600,DeepStack,lesnoy.dmitry.1 
r300f,,,,9s4h2h2c,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,6d9hJc6s,50|-50,DeepStack,lesnoy.dmitry.1 
r200r600c,r1800f,,,5dAh5s6c8d3sJh,600|-600,lesnoy.dmitry.1,DeepStack 
f,,,,Qd4dTs3d,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,7hKs2cTc3h9cQh,-200|200,lesnoy.dmitry.1,DeepStack 
k,r200r300r900f,,,3d2s8hJc7c7s2c,300|-300,DeepStack,lesnoy.dmitry.1 
