PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
k,r200c,k,cr1000f,6c9cJs2h5sAd3c5d6h,-200|200,laak.phil.2,DeepStack 
r300c,k,r750r2250f,,AsJhKs3c6s2dTdJd,-750|750,laak.phil.2,DeepStack 
r300c,cr600f,,,7sAdAsQh2h9s4c,-300|300,laak.phil.4,DeepStack 
k,r202r404f,,,Td3d2s5s6cJs2d,-202|202,laak.phil.1,DeepStack 
r333c,cr667r1334f,,,Ah4dJs6c2c5d7d,667|-667,DeepStack,laak.phil.2 
r300f,,,,3cThTsAc,-100|100,DeepStack,laak.phil.1 
r300f,,,,6c8hQs7s,-100|100,DeepStack,laak.phil.2 
cr300c,r600c,cr1600r4800f,,KsQhAcJsJd2sTs8h,1600|-1600,DeepStack,laak.phil.4 
r200f,,,,3d9cQhTd,-100|100,laak.phil.2,DeepStack 
r200c,k,k,k,6d4s3hKc8h2d9hQh2c,-200|200,DeepStack,laak.phil.2 
r300c,k,r602c,cr1204f,KdJd2s2c5d7cAc7hAh,-602|602,laak.phil.1,DeepStack 
k,cr200f,,,2c6d9c8s3dKsQs,-100|100,laak.phil.2,DeepStack 
f,,,,Jh6h3d9s,50|-50,laak.phil.4,DeepStack 
r300f,,,,2dJs2sKs,-100|100,DeepStack,laak.phil.4 
k,k,k,r300f,5s9dTs2dKh3s8h9s3h,100|-100,laak.phil.2,DeepStack 
r300c,cr900f,,,7c7hAcJhAsKs8d,-300|300,laak.phil.4,DeepStack 
r300f,,,,2sQhQdJd,-100|100,DeepStack,laak.phil.2 
r200r600f,,,,4h4cThQc,200|-200,DeepStack,laak.phil.1 
r300c,k,r900c,r2700f,QhAc9h7d9d2dAhAs4d,900|-900,laak.phil.2,DeepStack 
f,,,,TcAh2d6s,50|-50,DeepStack,laak.phil.4 
r300c,cr601f,,,Kd5dKs9c6c6s8h,-300|300,DeepStack,laak.phil.2 
r300f,,,,Kc3d4h2h,-100|100,laak.phil.1,DeepStack 
k,r200r400f,,,4c5d3d5hKdTs3s,-200|200,laak.phil.4,DeepStack 
r300c,cr800f,,,4c5dKhAh9h8cAs,-300|300,DeepStack,laak.phil.1 
f,,,,5c4h2h3c,50|-50,DeepStack,laak.phil.2 
r200c,cr401f,,,Td6h8h7cQh5c9h,-200|200,DeepStack,laak.phil.4 
r200c,k,r600c,k,3h9hAdJhJc9dQs9s8d,600|-600,laak.phil.1,DeepStack 
f,,,,Td8d2s6d,50|-50,laak.phil.2,DeepStack 
r300c,k,cr900f,,6cQc4s3dKd8cAh2h,-300|300,laak.phil.2,DeepStack 
f,,,,JhKd2s8c,50|-50,laak.phil.4,DeepStack 
r300f,,,,8d5sQh3c,-100|100,DeepStack,laak.phil.1 
r255r765f,,,,6h6sKd3h,255|-255,DeepStack,laak.phil.2 
f,,,,4h9s4s3h,50|-50,DeepStack,laak.phil.4 
r300f,,,,2s8hAdQd,-100|100,laak.phil.4,DeepStack 
r200r700f,,,,KdAhQh4c,200|-200,laak.phil.1,DeepStack 
