"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"127",-6,6,343,-343,980,1020
"128",3.72,-3.72,581.14,-581.14,980,1020
"129",-4.01,4.01,0,0,1010,990
"130",0.879999999999999,-0.879999999999999,0,0,1010,990
"131",-3.12,3.12,413.56,-413.56,980,1020
"132",1.54,-1.54,0,0,1010,990
"133",-9.35,9.35,0,0,1010,990
"134",-5.9,5.9,0,0,1010,990
"135",2.56,-2.56,552.72,-552.72,980,1020
"136",0.939999999999998,-0.939999999999998,0,0,1010,990
"137",4.12,-4.12,590.94,-590.94,980,1020
"138",-2.68,2.68,424.34,-424.34,980,1020
"139",-0.23,0.229999999999999,0,0,1010,990
"140",-1.37,1.37,0,0,1010,990
"141",-11.6,11.6,205.8,-205.8,980,1020
"142",-5.16,5.16,363.58,-363.58,980,1020
"143",2.96,-2.96,562.52,-562.52,980,1020
"144",-6.24,6.24,337.12,-337.12,980,1020
"145",-2.63,2.63,0,0,1010,990
"146",1.6,-1.6,529.2,-529.2,980,1020
"147",1.16,-1.16,518.42,-518.42,980,1020
"148",-5.32,5.32,359.66,-359.66,980,1020
"149",-1.4,1.4,455.7,-455.7,980,1020
"150",-4.12,4.12,389.06,-389.06,980,1020
"151",-6.24,6.24,337.12,-337.12,980,1020
"152",5.12,-5.12,615.44,-615.44,980,1020
"153",-1.56,1.56,451.78,-451.78,980,1020
"154",-0.5,0.5,0,0,1010,990
"155",-7.52,7.52,0,0,1010,990
"156",-7.8,7.8,298.9,-298.9,980,1020
"157",-2.99,2.99,0,0,1010,990
"158",2.8,-2.8,0,0,1010,990
"159",8.16,-8.16,689.92,-689.92,980,1020
"160",-1.19,1.19,0,0,1010,990
"161",2.26,-2.26,0,0,1010,990
"162",-1.73,1.73,0,0,1010,990
"163",-3.6,3.6,401.8,-401.8,980,1020
"164",10.08,-10.08,493.92,-493.92,2000,0
"165",5.16,-5.16,616.42,-616.42,980,1020
"166",-3.64,3.64,400.82,-400.82,980,1020
"167",-0.109999999999999,0.109999999999999,0,0,1010,990
"168",-2.36,2.36,432.18,-432.18,980,1020
"169",-0.829999999999998,0.83,0,0,1010,990
"170",-6.12,6.12,340.06,-340.06,980,1020
"171",-0.829999999999998,0.83,0,0,1010,990
"172",8.76,-8.76,704.62,-704.62,980,1020
"173",-7.32,7.32,310.66,-310.66,980,1020
"174",-2.52,2.52,428.26,-428.26,980,1020
"175",-0.469999999999999,0.469999999999999,0,0,1010,990
"176",-3.52,3.52,403.76,-403.76,980,1020
"177",6.64,-6.64,652.68,-652.68,980,1020
"178",-1.44,1.44,454.72,-454.72,980,1020
"179",1.48,-1.48,0,0,1010,990
"180",-6.68,6.68,0,0,1010,990
"181",-3.96,3.96,392.98,-392.98,980,1020
"182",-10.16,10.16,0,0,1010,990
"183",2.64,-2.64,554.68,-554.68,980,1020
"184",-7.44,7.44,307.72,-307.72,980,1020
"185",-4.31,4.31,0,0,1010,990
