"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",63.4333333333333,-63.4333333333333,36.5666666666667,-36.5666666666667,20100,19900
"2",65.2959595959596,-65.2959595959596,134.70404040404,-134.70404040404,20200,19800
"3",-162.764646464646,162.764646464646,-37.2353535353535,37.2353535353535,19800,20200
"4",-111.981818181818,111.981818181818,-88.0181818181818,88.0181818181818,19800,20200
"5",139.10303030303,-139.10303030303,760.89696969697,-760.89696969697,20900,19100
"6",66.3,-66.3,233.7,-233.7,20300,19700
"7",-54.2,54.2,-45.8,45.8,19900,20100
"8",19.8545454545454,-19.8545454545455,-19.8545454545454,19.8545454545455,20000,20000
"9",-50.3919191919192,50.3919191919192,-149.608080808081,149.608080808081,19800,20200
"10",151.387878787879,-151.387878787879,2548.61212121212,-2548.61212121212,22700,17300
"11",141.937373737374,-141.937373737374,458.062626262626,-458.062626262626,20600,19400
"12",-133.833333333333,133.833333333333,33.8333333333333,-33.8333333333333,19900,20100
"13",-49.0333333333333,49.0333333333333,-50.9666666666667,50.9666666666667,19900,20100
"14",74.7,-74.7,25.3,-25.3,20100,19900
"15",75.2333333333333,-75.2333333333333,124.766666666667,-124.766666666667,20200,19800
"16",-151.066666666667,151.066666666667,51.0666666666667,-51.0666666666667,19900,20100
"17",-79.1666666666667,79.1666666666667,-20.8333333333333,20.8333333333333,19900,20100
"18",-70,70,-30,30,19900,20100
"19",153.652525252525,-153.652525252525,446.347474747475,-446.347474747475,20600,19400
"20",72.2606060606061,-72.2606060606061,527.739393939394,-527.739393939394,20600,19400
"21",-223.912121212121,223.912121212121,-376.087878787879,376.087878787879,19400,20600
"22",136.266666666667,-136.266666666667,763.733333333333,-763.733333333333,20900,19100
"23",82.9010101010101,-82.9010101010101,117.09898989899,-117.09898989899,20200,19800
"24",-12,12,-88,88,19900,20100
"25",306.979797979798,-306.979797979798,1493.0202020202,-1493.0202020202,21800,18200
"26",84.3666666666667,-84.3666666666667,215.633333333333,-215.633333333333,20300,19700
"27",-799.173737373737,799.173737373737,-1000.82626262626,1000.82626262626,18200,21800
"28",-122.8,122.8,22.8,-22.8,19900,20100
"29",35.6,-35.6,-35.6,35.6,20000,20000
"30",51.4717171717172,-51.4717171717172,1748.52828282828,-1748.52828282828,21800,18200
"31",127.257575757576,-127.257575757576,2572.74242424242,-2572.74242424242,22700,17300
"32",134.458585858586,-134.458585858586,2565.54141414141,-2565.54141414141,22700,17300
"33",-80.0333333333333,80.0333333333333,-19.9666666666667,19.9666666666667,19900,20100
"34",-64.9666666666667,64.9666666666667,-135.033333333333,135.033333333333,19800,20200
"35",-128.507070707071,128.507070707071,-471.492929292929,471.492929292929,19400,20600
"36",135.208080808081,-135.208080808081,64.7919191919192,-64.7919191919192,20200,19800
