marlon_luck,marty_luck,marlon_skill,marty_skill,marlon_chip,marty_chip,marlon_gain,marty_gain
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
-93.33333333,93.33333333,193.3333333,-193.3333333,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-90.90909091,90.90909091,20090.90909,-20090.90909,40000,0,20000,-20000
3.55E-15,-7.11E-15,0,0,20000,20000,0,0
45.65656566,-45.65656566,54.34343434,-54.34343434,20100,19900,100,-100
34.14141414,-34.14141414,65.85858586,-65.85858586,20100,19900,100,-100
-60.3030303,60.3030303,160.3030303,-160.3030303,20100,19900,100,-100
54.54545455,-54.54545455,45.45454545,-45.45454545,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
18.48484848,-18.48484848,81.51515152,-81.51515152,20100,19900,100,-100
100,-76.96666667,0,-23.03333333,20100,19900,100,-100
76.36363636,-76.36363636,23.63636364,-23.63636364,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-36.56565657,36.56565657,136.5656566,-136.5656566,20100,19900,100,-100
0,1.42E-14,100,-100,20100,19900,100,-100
89.6969697,-89.6969697,10.3030303,-10.3030303,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
92.82828283,-92.82828283,7.171717172,-7.171717172,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
92.82828283,-92.82828283,7.171717172,-7.171717172,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
56.06060606,-56.06060606,43.93939394,-43.93939394,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-56.76767677,56.76767677,156.7676768,-156.7676768,20100,19900,100,-100
-75,75,175,-175,20100,19900,100,-100
103,-100,-3,0,20100,19900,100,-100
-6.22E-15,6.22E-15,100,-100,20100,19900,100,-100
56.06060606,-56.06060606,43.93939394,-43.93939394,20100,19900,100,-100
-39.26666667,39.26666667,-60.73333333,60.73333333,19900,20100,-100,100
-99.39393939,99.39393939,20099.39394,-20099.39394,40000,0,20000,-20000
76.36363636,-76.36363636,23.63636364,-23.63636364,20100,19900,100,-100
77.27272727,-77.27272727,22.72727273,-22.72727273,20100,19900,100,-100
-37.4,37.4,-62.6,62.6,19900,20100,-100,100
59.09090909,-59.09090909,40.90909091,-40.90909091,20100,19900,100,-100
-68,68,-32,32,19900,20100,-100,100
-59.09090909,59.09090909,159.0909091,-159.0909091,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-15.95959596,15.95959596,115.959596,-115.959596,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
54.84848485,-54.84848485,45.15151515,-45.15151515,20100,19900,100,-100
-71.11111111,71.11111111,171.1111111,-171.1111111,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
43.83838384,-43.83838384,56.16161616,-56.16161616,20100,19900,100,-100
-42.42424242,42.42424242,142.4242424,-142.4242424,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-50,50,150,-150,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-88.58585859,88.58585859,188.5858586,-188.5858586,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,200,-200,20100,19900,100,-100
53.93939394,-53.93939394,46.06060606,-46.06060606,20100,19900,100,-100
56.36363636,-56.36363636,43.63636364,-43.63636364,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-36.36363636,36.36363636,136.3636364,-136.3636364,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
59.09090909,-59.09090909,40.90909091,-40.90909091,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
31.51515152,-31.51515152,68.48484848,-68.48484848,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
77.27272727,-77.27272727,22.72727273,-22.72727273,20100,19900,100,-100
92.12121212,-92.12121212,7.878787879,-7.878787879,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
36.36363636,-36.36363636,63.63636364,-63.63636364,20100,19900,100,-100
-69.23333333,69.23333333,-30.76666667,30.76666667,19900,20100,-100,100
76.36363636,-76.36363636,23.63636364,-23.63636364,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
37.87878788,-37.87878788,62.12121212,-62.12121212,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-50,60.56666667,-50,39.43333333,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-94.54545455,94.54545455,194.5454545,-194.5454545,20100,19900,100,-100
98.48484848,-98.48484848,1.515151515,-1.515151515,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
90.50505051,-90.50505051,9.494949495,-9.494949495,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
97.77777778,-97.77777778,2.222222222,-2.222222222,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
78.78787879,-78.78787879,21.21212121,-21.21212121,20100,19900,100,-100
90.60606061,-90.60606061,9.393939394,-9.393939394,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
-35.13333333,35.13333333,-64.86666667,64.86666667,19900,20100,-100,100
-68.18181818,68.18181818,-19931.81818,19931.81818,0,40000,-20000,20000
100,-100,0,0,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
52.62626263,-52.62626263,47.37373737,-47.37373737,20100,19900,100,-100
-88.98989899,88.98989899,188.989899,-188.989899,20100,19900,100,-100
56.66666667,-56.66666667,43.33333333,-43.33333333,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-83.13131313,83.13131313,183.1313131,-183.1313131,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
79.39393939,-79.39393939,20.60606061,-20.60606061,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
47.27272727,-47.27272727,52.72727273,-52.72727273,20100,19900,100,-100
83.23232323,-83.23232323,16.76767677,-16.76767677,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-40.90909091,40.90909091,140.9090909,-140.9090909,20100,19900,100,-100
83.03030303,-83.03030303,16.96969697,-16.96969697,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
38.78787879,-38.78787879,61.21212121,-61.21212121,20100,19900,100,-100
81.81818182,-69.61818182,18.18181818,-30.38181818,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,200,-200,20100,19900,100,-100
99.09090909,-99.09090909,0.909090909,-0.909090909,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
-56.06060606,56.06060606,156.0606061,-156.0606061,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-50,50,150,-150,20100,19900,100,-100
-54.54545455,54.54545455,154.5454545,-154.5454545,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-48.4,48.4,-51.6,51.6,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
42.92929293,-42.92929293,57.07070707,-57.07070707,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-60,60,160,-160,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,200,-200,20100,19900,100,-100
-42.72727273,42.72727273,142.7272727,-142.7272727,20100,19900,100,-100
52.42424242,-52.42424242,47.57575758,-47.57575758,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
74.34343434,-74.34343434,25.65656566,-25.65656566,20100,19900,100,-100
-98.98989899,98.98989899,198.989899,-198.989899,20100,19900,100,-100
-85.45454545,85.45454545,-14.54545455,14.54545455,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-38.03333333,38.03333333,-61.96666667,61.96666667,19900,20100,-100,100
-87.37373737,87.37373737,187.3737374,-187.3737374,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-67.07070707,67.07070707,167.0707071,-167.0707071,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
-68.18181818,68.18181818,168.1818182,-168.1818182,20100,19900,100,-100
96.56565657,-96.56565657,3.434343434,-3.434343434,20100,19900,100,-100
40.90909091,-40.90909091,59.09090909,-59.09090909,20100,19900,100,-100
98.98989899,-98.98989899,1.01010101,-1.01010101,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-58.18181818,58.18181818,158.1818182,-158.1818182,20100,19900,100,-100
36.46666667,-36.46666667,63.53333333,-63.53333333,20100,19900,100,-100
-50.80808081,50.80808081,150.8080808,-150.8080808,20100,19900,100,-100
-1.78E-15,1.78E-15,100,-100,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-29.54545455,29.54545455,129.5454545,-129.5454545,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-92.62626263,92.62626263,192.6262626,-192.6262626,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
-100,100,200,-200,20100,19900,100,-100
90.90909091,-90.90909091,9.090909091,-9.090909091,20100,19900,100,-100
73.13131313,-73.13131313,26.86868687,-26.86868687,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,200,-200,20100,19900,100,-100
-68.18181818,68.18181818,168.1818182,-168.1818182,20100,19900,100,-100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-72.92929293,72.92929293,172.9292929,-172.9292929,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
93.93939394,-93.93939394,6.060606061,-6.060606061,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
-100,100,0,0,19900,20100,-100,100
93.43434343,-93.43434343,6.565656566,-6.565656566,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
64.24242424,-64.24242424,35.75757576,-35.75757576,20100,19900,100,-100
-59.09090909,59.09090909,159.0909091,-159.0909091,20100,19900,100,-100
24.04040404,-24.04040404,75.95959596,-75.95959596,20100,19900,100,-100
95.85858586,-95.85858586,4.141414141,-4.141414141,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
37.27272727,-26.60606061,62.72727273,-73.39393939,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
69.6969697,-69.6969697,30.3030303,-30.3030303,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
60.80808081,-60.80808081,39.19191919,-39.19191919,20100,19900,100,-100
55.05050505,-55.05050505,44.94949495,-44.94949495,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
47.67676768,-47.67676768,52.32323232,-52.32323232,20100,19900,100,-100
100,-92.76666667,0,-7.233333333,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-50,50,150,-150,20100,19900,100,-100
-41.81818182,41.81818182,141.8181818,-141.8181818,20100,19900,100,-100
-22.72727273,22.72727273,122.7272727,-122.7272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-81.81818182,81.81818182,181.8181818,-181.8181818,20100,19900,100,-100
-43.93939394,43.93939394,143.9393939,-143.9393939,20100,19900,100,-100
59.19191919,-59.19191919,40.80808081,-40.80808081,20100,19900,100,-100
49.29292929,-49.29292929,50.70707071,-50.70707071,20100,19900,100,-100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
-86.36363636,86.36363636,20086.36364,-20086.36364,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
40.4040404,-40.4040404,59.5959596,-59.5959596,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
-100,100,-19900,19900,0,40000,-20000,20000
40.1010101,-40.1010101,59.8989899,-59.8989899,20100,19900,100,-100
70.3030303,-70.3030303,29.6969697,-29.6969697,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
85.45454545,-85.45454545,14.54545455,-14.54545455,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
77.27272727,-77.27272727,22.72727273,-22.72727273,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-49.39393939,49.39393939,149.3939394,-149.3939394,20100,19900,100,-100
91.71717172,-91.71717172,8.282828283,-8.282828283,20100,19900,100,-100
-61.96666667,100,-38.03333333,0,19900,20100,-100,100
48.28282828,-48.28282828,51.71717172,-51.71717172,20100,19900,100,-100
58.28282828,-58.28282828,41.71717172,-41.71717172,20100,19900,100,-100
75,-75,25,-25,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
69.8989899,-69.8989899,30.1010101,-30.1010101,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
23.93939394,-23.93939394,76.06060606,-76.06060606,20100,19900,100,-100
33.23232323,-33.23232323,66.76767677,-66.76767677,20100,19900,100,-100
64.24242424,-64.24242424,35.75757576,-35.75757576,20100,19900,100,-100
-81.81818182,81.81818182,181.8181818,-181.8181818,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
56.56565657,-56.56565657,43.43434343,-43.43434343,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
45.65656566,-45.65656566,54.34343434,-54.34343434,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-61.41414141,61.41414141,161.4141414,-161.4141414,20100,19900,100,-100
