marlon_luck,marly_luck,marlon_skill,marly_skill,marlon_chip,marly_chip,marlon_gain,marly_gain
-295.959596,295.959596,-1504.040404,1504.040404,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-217.1717172,217.1717172,-382.8282828,382.8282828,19400,20600,-600,600
-190.9090909,190.9090909,-709.0909091,709.0909091,19100,20900,-900,900
-100,100,0,0,19900,20100,-100,100
154.5454545,-154.5454545,145.4545455,-145.4545455,20300,19700,300,-300
-779.4949495,779.4949495,-1920.505051,1920.505051,17300,22700,-2700,2700
336.7676768,-336.7676768,2363.232323,-2363.232323,22700,17300,2700,-2700
100,-100,200,-200,20300,19700,300,-300
-145.4545455,145.4545455,-154.5454545,154.5454545,19700,20300,-300,300
890.3989899,-890.3989899,6309.60101,-6309.60101,27200,12800,7200,-7200
-172.7272727,172.7272727,-127.2727273,127.2727273,19700,20300,-300,300
-147.8787879,147.8787879,-52.12121212,52.12121212,19800,20200,-200,200
163.6363636,-163.6363636,136.3636364,-136.3636364,20300,19700,300,-300
-131.3131313,131.3131313,-468.6868687,468.6868687,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
147.4747475,-147.4747475,1652.525253,-1652.525253,21800,18200,1800,-1800
-99.43333333,100,-200.5666667,200,19700,20300,-300,300
109.0909091,-109.0909091,2590.909091,-2590.909091,22700,17300,2700,-2700
108.8888889,-108.8888889,491.1111111,-491.1111111,20600,19400,600,-600
-100,100,-200,200,19700,20300,-300,300
-98.76666667,100,-1.233333333,0,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
103.030303,-103.030303,496.969697,-496.969697,20600,19400,600,-600
-154.5454545,154.5454545,-145.4545455,145.4545455,19700,20300,-300,300
215.5555556,-215.5555556,2484.444444,-2484.444444,22700,17300,2700,-2700
100,-100,200,-200,20300,19700,300,-300
100,-100,200,-200,20300,19700,300,-300
108.6868687,-108.6868687,491.3131313,-491.3131313,20600,19400,600,-600
209.0909091,-209.0909091,690.9090909,-690.9090909,20900,19100,900,-900
-100,100,-200,200,19700,20300,-300,300
182.1212121,-182.1212121,417.8787879,-417.8787879,20600,19400,600,-600
233.9393939,-233.9393939,2466.060606,-2466.060606,22700,17300,2700,-2700
131.010101,-131.010101,68.98989899,-68.98989899,20200,19800,200,-200
100,-100,200,-200,20300,19700,300,-300
106.2626263,-106.2626263,493.7373737,-493.7373737,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
127.2727273,-127.2727273,172.7272727,-172.7272727,20300,19700,300,-300
178.5858586,-178.5858586,1621.414141,-1621.414141,21800,18200,1800,-1800
100,-100,200,-200,20300,19700,300,-300
-148.4848485,148.4848485,-51.51515152,51.51515152,19800,20200,-200,200
187.4747475,-187.4747475,2512.525253,-2512.525253,22700,17300,2700,-2700
100,-100,200,-200,20300,19700,300,-300
108.8888889,-85.88888889,2591.111111,-2614.111111,22700,17300,2700,-2700
-190.9090909,190.9090909,-109.0909091,109.0909091,19700,20300,-300,300
100,-100,200,-200,20300,19700,300,-300
-143.1313131,143.1313131,-456.8686869,456.8686869,19400,20600,-600,600
199.3939394,-199.3939394,400.6060606,-400.6060606,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
-941.2121212,941.2121212,341.2121212,-341.2121212,19400,20600,-600,600
-100,100,0,0,19900,20100,-100,100
300,-300,600,-600,20900,19100,900,-900
100,-100,0,0,20100,19900,100,-100
100,-85.6,800,-814.4,20900,19100,900,-900
0,0,0,0,20000,20000,0,0
-131.7171717,131.7171717,-68.28282828,68.28282828,19800,20200,-200,200
440.2020202,-440.2020202,1359.79798,-1359.79798,21800,18200,1800,-1800
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
