marlon_luck,martin_luck,marlon_skill,martin_skill,marlon_chip,martin_chip,marlon_gain,martin_gain
-310.7070707,310.7070707,-589.2929293,589.2929293,19100,20900,-900,900
689.1,-689.1,829.9,-829.9,21519,18481,1519,-1519
145.4545455,-145.4545455,754.5454545,-754.5454545,20900,19100,900,-900
255.6727273,-233.9393939,344.3272727,-366.0606061,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
232.5252525,-232.5252525,8767.474747,-8767.474747,29000,11000,9000,-9000
-106.4646465,106.4646465,-15193.53535,15193.53535,4700,35300,-15300,15300
100,-100,0,0,20100,19900,100,-100
28.38383838,-28.38383838,171.6161616,-171.6161616,20200,19800,200,-200
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
77.27272727,-77.27272727,22.72727273,-22.72727273,20100,19900,100,-100
-185.0505051,185.0505051,-1314.949495,1314.949495,18500,21500,-1500,1500
-175.5555556,175.5555556,-424.4444444,424.4444444,19400,20600,-600,600
75,-75,25,-25,20100,19900,100,-100
-2124.191919,2124.191919,-12725.80808,12725.80808,5150,34850,-14850,14850
46.06060606,-46.06060606,53.93939394,-53.93939394,20100,19900,100,-100
-76.96969697,76.96969697,-23.03030303,23.03030303,19900,20100,-100,100
-90.50505051,90.50505051,-9.494949495,9.494949495,19900,20100,-100,100
126.3636364,-126.3636364,473.6363636,-473.6363636,20600,19400,600,-600
-200,200,-4900,4900,14900,25100,-5100,5100
100,-100,200,-200,20300,19700,300,-300
-61.80707071,100.7070707,20061.80707,-20100.70707,40000,0,20000,-20000
249.3939394,-249.3939394,350.6060606,-350.6060606,20600,19400,600,-600
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
97.17171717,-72.93838384,2.828282828,-27.06161616,20100,19900,100,-100
-46.86868687,46.86868687,-53.13131313,53.13131313,19900,20100,-100,100
-34.09090909,34.09090909,134.0909091,-134.0909091,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
511.8181818,-511.8181818,19488.18182,-19488.18182,40000,0,20000,-20000
-100,100,-19900,19900,0,40000,-20000,20000
-37.37373737,37.37373737,-62.62626263,62.62626263,19900,20100,-100,100
-45.45454545,45.45454545,145.4545455,-145.4545455,20100,19900,100,-100
145.4545455,-145.4545455,754.5454545,-754.5454545,20900,19100,900,-900
-27.27272727,27.27272727,127.2727273,-127.2727273,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
-78.78787879,78.78787879,-21.21212121,21.21212121,19900,20100,-100,100
213.3333333,-213.3333333,3986.666667,-3986.666667,24200,15800,4200,-4200
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
42.62626263,-42.62626263,57.37373737,-57.37373737,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-87.47474747,87.47474747,-12.52525253,12.52525253,19900,20100,-100,100
-100,100,20100,-20100,40000,0,20000,-20000
-64.34343434,64.34343434,-35.65656566,35.65656566,19900,20100,-100,100
-59.19191919,59.19191919,-40.80808081,40.80808081,19900,20100,-100,100
-244.4444444,244.4444444,-2455.555556,2455.555556,17300,22700,-2700,2700
-233.5313131,233.5313131,20233.53131,-20233.53131,40000,0,20000,-20000
-909.1919192,909.1919192,-5690.808081,5690.808081,13400,26600,-6600,6600
69.47474747,-67.47474747,30.52525253,-32.52525253,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
198.5858586,-198.5858586,101.4141414,-101.4141414,20300,19700,300,-300
268.7878788,-268.7878788,1531.212121,-1531.212121,21800,18200,1800,-1800
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-220.6060606,220.6060606,20220.60606,-20220.60606,40000,0,20000,-20000
-100,100,0,0,19900,20100,-100,100
43.43434343,-43.43434343,56.56565657,-56.56565657,20100,19900,100,-100
-66.66666667,66.66666667,-33.33333333,33.33333333,19900,20100,-100,100
93.18181818,-93.18181818,6.818181818,-6.818181818,20100,19900,100,-100
102.8282828,-102.8282828,-5202.828283,5202.828283,14900,25100,-5100,5100
-54.54545455,54.54545455,154.5454545,-154.5454545,20100,19900,100,-100
-96.96969697,96.96969697,-3.03030303,3.03030303,19900,20100,-100,100
-81.81818182,81.81818182,20081.81818,-20081.81818,40000,0,20000,-20000
-69.6969697,69.6969697,-30.3030303,30.3030303,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
416.5090909,-416.5090909,-20416.50909,20416.50909,0,40000,-20000,20000
-100,100,0,0,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
70.45454545,-70.45454545,29.54545455,-29.54545455,20100,19900,100,-100
51.71717172,-51.71717172,48.28282828,-48.28282828,20100,19900,100,-100
100,-100,19900,-19900,40000,0,20000,-20000
50.70707071,-50.70707071,49.29292929,-49.29292929,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
146.5656566,-146.5656566,1653.434343,-1653.434343,21800,18200,1800,-1800
1.161616162,-1.161616162,-1.161616162,1.161616162,20000,20000,0,0
-31.51515152,31.51515152,-68.48484848,68.48484848,19900,20100,-100,100
366,-366,534,-534,20900,19100,900,-900
0,0,0,0,20000,20000,0,0
192.6262626,-192.6262626,19807.37374,-19807.37374,40000,0,20000,-20000
-127.2727273,127.2727273,-172.7272727,172.7272727,19700,20300,-300,300
-153.9393939,153.9393939,-446.0606061,446.0606061,19400,20600,-600,600
189.6969697,-189.6969697,10.3030303,-10.3030303,20200,19800,200,-200
-100,100,-200,200,19700,20300,-300,300
147.1717172,-147.1717172,52.82828283,-52.82828283,20200,19800,200,-200
373.5606061,-373.5606061,19626.43939,-19626.43939,40000,0,20000,-20000
-92.32323232,92.32323232,-7.676767677,7.676767677,19900,20100,-100,100
100.6060606,-100.6060606,1699.393939,-1699.393939,21800,18200,1800,-1800
136.3636364,-136.3636364,163.6363636,-163.6363636,20300,19700,300,-300
154.5454545,-154.5454545,-454.5454545,454.5454545,19700,20300,-300,300
-43.66666667,43.66666667,-56.33333333,56.33333333,19900,20100,-100,100
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
100,-100,200,-200,20300,19700,300,-300
-255.0505051,255.0505051,-944.9494949,944.9494949,18800,21200,-1200,1200
-1975.151515,1975.151515,21975.15152,-21975.15152,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-54.34343434,54.34343434,-45.65656566,45.65656566,19900,20100,-100,100
-100,100,20100,-20100,40000,0,20000,-20000
75.95959596,-75.95959596,124.040404,-124.040404,20200,19800,200,-200
-61.21212121,61.21212121,-38.78787879,38.78787879,19900,20100,-100,100
28.48484848,-28.48484848,-28.48484848,28.48484848,20000,20000,0,0
-418.1818182,418.1818182,-11681.81818,11681.81818,7900,32100,-12100,12100
-2619.79798,2619.79798,-17380.20202,17380.20202,0,40000,-20000,20000
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
829.5666667,-829.5666667,12841.43333,-12841.43333,33671,6329,13671,-13671
982.4242424,-982.4242424,11017.57576,-11017.57576,32000,8000,12000,-12000
-54.36060606,66.06060606,20054.36061,-20066.06061,40000,0,20000,-20000
40.4040404,-40.4040404,59.5959596,-59.5959596,20100,19900,100,-100
-49.49494949,49.49494949,-50.50505051,50.50505051,19900,20100,-100,100
135.959596,-135.959596,8464.040404,-8464.040404,28600,11400,8600,-8600
71.91919192,-71.91919192,28.08080808,-28.08080808,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-67.07070707,67.07070707,-132.9292929,132.9292929,19800,20200,-200,200
1453.260606,-1453.260606,1582.739394,-1582.739394,23036,16964,3036,-3036
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-85.65656566,85.65656566,-14.34343434,14.34343434,19900,20100,-100,100
-109.7979798,109.7979798,-90.2020202,90.2020202,19800,20200,-200,200
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-112.7272727,112.7272727,-87.27272727,87.27272727,19800,20200,-200,200
-100,100,-5000,5000,14900,25100,-5100,5100
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-88.18181818,88.18181818,-11.81818182,11.81818182,19900,20100,-100,100
241.4141414,-241.4141414,208.5858586,-208.5858586,20450,19550,450,-450
55.05050505,-55.05050505,44.94949495,-44.94949495,20100,19900,100,-100
82.62626263,-82.62626263,17.37373737,-17.37373737,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-426.4646465,426.4646465,-19573.53535,19573.53535,0,40000,-20000,20000
-100,100,-200,200,19700,20300,-300,300
192.9292929,-192.9292929,-20192.92929,20192.92929,0,40000,-20000,20000
118.989899,-118.989899,8881.010101,-8881.010101,29000,11000,9000,-9000
96.96969697,-96.96969697,3.03030303,-3.03030303,20100,19900,100,-100
-528.3636364,528.3636364,20528.36364,-20528.36364,40000,0,20000,-20000
153.2323232,-153.2323232,46.76767677,-46.76767677,20200,19800,200,-200
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
23.93939394,-23.93939394,-20023.93939,20023.93939,0,40000,-20000,20000
35.3,-35.3,64.7,-64.7,20100,19900,100,-100
89.6969697,-89.6969697,10.3030303,-10.3030303,20100,19900,100,-100
202.8282828,-202.8282828,19797.17172,-19797.17172,40000,0,20000,-20000
468.4848485,-468.4848485,-20468.48485,20468.48485,0,40000,-20000,20000
89.09090909,-89.09090909,10.90909091,-10.90909091,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-145.4545455,145.4545455,20145.45455,-20145.45455,40000,0,20000,-20000
0,-1.42E-14,0,0,20000,20000,0,0
335.959596,-335.959596,2364.040404,-2364.040404,22700,17300,2700,-2700
456.7676768,-456.7676768,-20456.76768,20456.76768,0,40000,-20000,20000
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-925.0505051,925.0505051,20925.05051,-20925.05051,40000,0,20000,-20000
-90.50505051,90.50505051,-9.494949495,9.494949495,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-136.3590909,136.3590909,386.3590909,-386.3590909,20250,19750,250,-250
-100,100,-200,200,19700,20300,-300,300
91.11111111,-91.11111111,8.888888889,-8.888888889,20100,19900,100,-100
100,-100,900,-900,21000,19000,1000,-1000
-92.12121212,92.12121212,-7.878787879,7.878787879,19900,20100,-100,100
282.8535354,-282.8535354,19717.14646,-19717.14646,40000,0,20000,-20000
-413.6909091,413.6909091,-19586.30909,19586.30909,0,40000,-20000,20000
31.81818182,-31.81818182,68.18181818,-68.18181818,20100,19900,100,-100
1426.8,-1426.8,8824.2,-8824.2,30251,9749,10251,-10251
31.81818182,-31.81818182,68.18181818,-68.18181818,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,20100,-20100,40000,0,20000,-20000
93.18181818,-93.18181818,6.818181818,-6.818181818,20100,19900,100,-100
100,-100,300,-300,20400,19600,400,-400
-100,100,-100,100,19800,20200,-200,200
-84.84848485,84.84848485,-15.15151515,15.15151515,19900,20100,-100,100
-50.70707071,50.70707071,-49.29292929,49.29292929,19900,20100,-100,100
-72.42424242,72.42424242,-27.57575758,27.57575758,19900,20100,-100,100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
75,-75,25,-25,20100,19900,100,-100
191.3131313,-191.3131313,6108.686869,-6108.686869,26300,13700,6300,-6300
3.55E-15,-3.55E-15,0,0,20000,20000,0,0
-4.545454545,4.545454545,20004.54545,-20004.54545,40000,0,20000,-20000
449.1919192,-449.1919192,1350.808081,-1350.808081,21800,18200,1800,-1800
-85.01212121,85.01212121,-214.9878788,214.9878788,19700,20300,-300,300
67.67676768,-67.67676768,32.32323232,-32.32323232,20100,19900,100,-100
-87.87878788,87.87878788,-12.12121212,12.12121212,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-63.63636364,63.63636364,163.6363636,-163.6363636,20100,19900,100,-100
8.282828283,-8.282828283,91.71717172,-91.71717172,20100,19900,100,-100
78.78787879,-78.78787879,21.21212121,-21.21212121,20100,19900,100,-100
96.96969697,-96.96969697,3.03030303,-3.03030303,20100,19900,100,-100
93.73737374,-93.73737374,6.262626263,-6.262626263,20100,19900,100,-100
-78.1,78.1,-21.9,21.9,19900,20100,-100,100
-3.55E-15,3.55E-15,0,0,20000,20000,0,0
100,-100,900,-900,21000,19000,1000,-1000
100,-100,100,-100,20200,19800,200,-200
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
247.979798,-247.979798,352.020202,-352.020202,20600,19400,600,-600
-137.1717172,137.1717172,-462.8282828,462.8282828,19400,20600,-600,600
-341.8181818,341.8181818,-258.1818182,258.1818182,19400,20600,-600,600
131.1111111,-131.1111111,468.8888889,-468.8888889,20600,19400,600,-600
51.31313131,-51.31313131,48.68686869,-48.68686869,20100,19900,100,-100
59.09090909,-59.09090909,40.90909091,-40.90909091,20100,19900,100,-100
3.55E-15,-3.55E-15,0,0,20000,20000,0,0
-28.28282828,28.28282828,-71.71717172,71.71717172,19900,20100,-100,100
-2393.333333,2393.333333,22393.33333,-22393.33333,40000,0,20000,-20000
100,-100,200,-200,20300,19700,300,-300
231.5151515,-231.5151515,2468.484848,-2468.484848,22700,17300,2700,-2700
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
-100,100,-400,400,19500,20500,-500,500
-72.12121212,72.12121212,-27.87878788,27.87878788,19900,20100,-100,100
-121.7727273,127.2727273,-778.2272727,772.7272727,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
-66.66666667,66.66666667,-33.33333333,33.33333333,19900,20100,-100,100
-100,100,-400,400,19500,20500,-500,500
100,-100,0,0,20100,19900,100,-100
64.04040404,-64.04040404,35.95959596,-35.95959596,20100,19900,100,-100
-104.4444444,104.4444444,-19895.55556,19895.55556,0,40000,-20000,20000
91.31313131,-91.31313131,8.686868687,-8.686868687,20100,19900,100,-100
44.74747475,-44.74747475,55.25252525,-55.25252525,20100,19900,100,-100
131.1111111,-131.1111111,468.8888889,-468.8888889,20600,19400,600,-600
83.03030303,-83.03030303,16.96969697,-16.96969697,20100,19900,100,-100
-245.4545455,245.4545455,-1254.545455,1254.545455,18500,21500,-1500,1500
485.1010101,-485.1010101,3564.89899,-3564.89899,24050,15950,4050,-4050
-184.4444444,184.4444444,-10015.55556,10015.55556,9800,30200,-10200,10200
40.90909091,-40.90909091,59.09090909,-59.09090909,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
63.16666667,-50,36.83333333,-50,20100,19900,100,-100
-66.06060606,66.06060606,-33.93939394,33.93939394,19900,20100,-100,100
-41.7,41.7,-58.3,58.3,19900,20100,-100,100
-14594.61616,14594.61616,34594.61616,-34594.61616,40000,0,20000,-20000
93.33333333,-93.33333333,6.666666667,-6.666666667,20100,19900,100,-100
-111.9191919,111.9191919,-2888.080808,2888.080808,17000,23000,-3000,3000
100,-100,0,0,20100,19900,100,-100
153.9393939,-153.9393939,446.0606061,-446.0606061,20600,19400,600,-600
100,-100,0,0,20100,19900,100,-100
80.80808081,-80.80808081,19.19191919,-19.19191919,20100,19900,100,-100
91.11111111,-67.51111111,8.888888889,-32.48888889,20100,19900,100,-100
-97.17171717,97.17171717,-2.828282828,2.828282828,19900,20100,-100,100
-2475.927273,2475.927273,-12902.07273,12902.07273,4622,35378,-15378,15378
277.7272727,-277.7272727,19722.27273,-19722.27273,40000,0,20000,-20000
-78.98989899,78.98989899,-21.01010101,21.01010101,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
96.26262626,-96.26262626,-20096.26263,20096.26263,0,40000,-20000,20000
-3.55E-15,3.55E-15,0,0,20000,20000,0,0
42.82828283,-42.82828283,57.17171717,-57.17171717,20100,19900,100,-100
100,-100,300,-300,20400,19600,400,-400
-68.88888889,68.88888889,-31.11111111,31.11111111,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-161.5151515,161.5151515,-738.4848485,738.4848485,19100,20900,-900,900
-345.6565657,345.6565657,-1454.343434,1454.343434,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
-1827.272727,1841.206061,-18172.72727,18158.79394,0,40000,-20000,20000
100,-100,200,-200,20300,19700,300,-300
58.78787879,-58.78787879,-20058.78788,20058.78788,0,40000,-20000,20000
-330.8080808,330.8080808,20330.80808,-20330.80808,40000,0,20000,-20000
-621.4141414,621.4141414,-19378.58586,19378.58586,0,40000,-20000,20000
-93.33333333,93.33333333,-6.666666667,6.666666667,19900,20100,-100,100
63.63636364,-63.63636364,36.36363636,-36.36363636,20100,19900,100,-100
-110.6060606,110.6060606,20110.60606,-20110.60606,40000,-3.64E-12,20000,-20000
-21.81818182,21.81818182,-78.18181818,78.18181818,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
77.53333333,-77.53333333,22.46666667,-22.46666667,20100,19900,100,-100
-55.75757576,55.75757576,-44.24242424,44.24242424,19900,20100,-100,100
9838.181818,-9838.181818,10161.81818,-10161.81818,40000,0,20000,-20000
-100,100,200,-200,20100,19900,100,-100
15.53333333,-15.53333333,84.46666667,-84.46666667,20100,19900,100,-100
-35.26666667,35.26666667,-64.73333333,64.73333333,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-100,100,-100,100,19800,20200,-200,200
3411.563636,-3411.563636,4277.436364,-4277.436364,27689,12311,7689,-7689
-180.4040404,180.4040404,-719.5959596,719.5959596,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-36.36363636,36.36363636,136.3636364,-136.3636364,20100,19900,100,-100
-50,50,-50,50,19900,20100,-100,100
-464.1414141,464.1414141,-1560.858586,1560.858586,17975,22025,-2025,2025
-35.66666667,35.66666667,-64.33333333,64.33333333,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-65.05050505,65.05050505,-34.94949495,34.94949495,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-226.8686869,226.8686869,-1973.131313,1973.131313,17800,22200,-2200,2200
644.6464646,-644.6464646,2055.353535,-2055.353535,22700,17300,2700,-2700
-112.7272727,112.7272727,-19887.27273,19887.27273,0,40000,-20000,20000
398.3838384,-398.3838384,51.61616162,-51.61616162,20450,19550,450,-450
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
-100,100,-800,800,19100,20900,-900,900
1714.521212,-1714.521212,7393.478788,-7393.478788,29108,10892,9108,-9108
-100,100,-200,200,19700,20300,-300,300
245.6565657,-245.6565657,354.3434343,-354.3434343,20600,19400,600,-600
172.7272727,-172.7272727,19827.27273,-19827.27273,40000,0,20000,-20000
-87.27272727,87.27272727,-12.72727273,12.72727273,19900,20100,-100,100
-90.50505051,90.50505051,-9.494949495,9.494949495,19900,20100,-100,100
-243.5353535,243.5353535,-356.4646465,356.4646465,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
902.3232323,-902.3232323,-20902.32323,20902.32323,0,40000,-20000,20000
182.6262626,-182.6262626,17.37373737,-17.37373737,20200,19800,200,-200
-81.81818182,81.81818182,181.8181818,-181.8181818,20100,19900,100,-100
-100,100,-1400,1400,18500,21500,-1500,1500
-213.5353535,213.5353535,-1586.464646,1586.464646,18200,21800,-1800,1800
76.36363636,-76.36363636,23.63636364,-23.63636364,20100,19900,100,-100
60.60606061,-60.60606061,39.39393939,-39.39393939,20100,19900,100,-100
-26.26666667,26.26666667,-73.73333333,73.73333333,19900,20100,-100,100
70.70707071,-70.70707071,29.29292929,-29.29292929,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
139.7979798,-139.7979798,60.2020202,-60.2020202,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
-1225.580808,1227.947475,-4849.419192,4847.052525,13925,26075,-6075,6075
-138.7878788,138.7878788,-1961.212121,1961.212121,17900,22100,-2100,2100
-91.11111111,91.11111111,-8.888888889,8.888888889,19900,20100,-100,100
100,-100,19900,-19900,40000,0,20000,-20000
-151.7171717,151.7171717,-48.28282828,48.28282828,19800,20200,-200,200
-333.7373737,333.7373737,-1466.262626,1466.262626,18200,21800,-1800,1800
-66.06060606,66.06060606,-33.93939394,33.93939394,19900,20100,-100,100
-109.4949495,109.4949495,-1690.505051,1690.505051,18200,21800,-1800,1800
-89.09090909,89.09090909,-10.90909091,10.90909091,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
52.72727273,-52.72727273,47.27272727,-47.27272727,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
-131.9191919,131.9191919,-68.08080808,68.08080808,19800,20200,-200,200
46.96969697,-46.96969697,53.03030303,-53.03030303,20100,19900,100,-100
62.62626263,-62.62626263,37.37373737,-37.37373737,20100,19900,100,-100
-39.39393939,39.39393939,-60.60606061,60.60606061,19900,20100,-100,100
-2890.29899,2890.29899,-4798.70101,4798.70101,12311,27689,-7689,7689
1348.484848,-1348.484848,18651.51515,-18651.51515,40000,0,20000,-20000
0,0,0,0,20000,20000,0,0
-762.369697,763.6363636,20762.3697,-20763.63636,40000,0,20000,-20000
303.4343434,-275.6343434,596.5656566,-624.3656566,20900,19100,900,-900
93.18181818,-93.18181818,6.818181818,-6.818181818,20100,19900,100,-100
73.73737374,-73.73737374,26.26262626,-26.26262626,20100,19900,100,-100
-44.16666667,44.16666667,-55.83333333,55.83333333,19900,20100,-100,100
4354.439394,-4354.439394,-24354.43939,24354.43939,0,40000,-20000,20000
50.90909091,-50.90909091,49.09090909,-49.09090909,20100,19900,100,-100
67.67676768,-67.67676768,232.3232323,-232.3232323,20300,19700,300,-300
-31.81818182,31.81818182,131.8181818,-131.8181818,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-7.11E-15,7.11E-15,100,-100,20100,19900,100,-100
-136.7676768,136.7676768,-463.2323232,463.2323232,19400,20600,-600,600
-64.24242424,64.24242424,-35.75757576,35.75757576,19900,20100,-100,100
-90.90909091,90.90909091,190.9090909,-190.9090909,20100,19900,100,-100
-28.43333333,28.43333333,-71.56666667,71.56666667,19900,20100,-100,100
522.8363636,-522.8363636,2513.163636,-2513.163636,23036,16964,3036,-3036
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
73.73737374,-73.73737374,19926.26263,-19926.26263,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-84.09090909,84.09090909,184.0909091,-184.0909091,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
90.1010101,-90.1010101,9.898989899,-9.898989899,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-70.70707071,70.70707071,-29.29292929,29.29292929,19900,20100,-100,100
-67.87878788,67.87878788,-32.12121212,32.12121212,19900,20100,-100,100
-348.9090909,348.9090909,20348.90909,-20348.90909,40000,0,20000,-20000
-531.4333333,531.4333333,-987.5666667,987.5666667,18481,21519,-1519,1519
-87.27272727,87.27272727,-12.72727273,12.72727273,19900,20100,-100,100
-456.969697,456.969697,-19543.0303,19543.0303,0,40000,-20000,20000
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-97.37373737,97.37373737,-102.6262626,102.6262626,19800,20200,-200,200
89.6969697,-89.6969697,10.3030303,-10.3030303,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-369.0909091,369.0909091,-2330.909091,2330.909091,17300,22700,-2700,2700
-1.42E-14,0,0,0,20000,20000,0,0
-100,100,-200,200,19700,20300,-300,300
-17.1969697,36.36363636,-82.8030303,63.63636364,19900,20100,-100,100
-66.66666667,66.66666667,-33.33333333,33.33333333,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
-168.1818182,168.1818182,-431.8181818,431.8181818,19400,20600,-600,600
107.2727273,-107.2727273,19892.72727,-19892.72727,40000,0,20000,-20000
66.08585859,-66.08585859,-20066.08586,20066.08586,0,40000,-20000,20000
-117.979798,117.979798,-482.020202,482.020202,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
932.2979798,-932.2979798,1092.70202,-1092.70202,22025,17975,2025,-2025
-126.8686869,126.8686869,-473.1313131,473.1313131,19400,20600,-600,600
-105.959596,105.959596,-294.040404,294.040404,19600,20400,-400,400
-100,100,0,0,19900,20100,-100,100
59.7979798,-59.7979798,40.2020202,-40.2020202,20100,19900,100,-100
74.54545455,-74.54545455,25.45454545,-25.45454545,20100,19900,100,-100
69.8989899,-69.8989899,30.1010101,-30.1010101,20100,19900,100,-100
0,0,0,0,20000,20000,0,0
