M,p1_luck,p2_luck,p1_skill,p2_skill,p1_chips,p2_chips
1,-473.020276,473.020276,-787.812352,787.812352,18739.16737,21260.83263
2,-395.501682,395.501682,-801.672312,801.672312,18802.82601,21197.17399
3,-384.60001,384.60001,-866.26931,866.26931,18749.13068,21250.86932
4,-347.430544,347.430544,-849.992278,849.992278,18802.57718,21197.42282
5,-354.304088,354.304088,-845.898906,845.898906,18799.79701,21200.20299
6,-448.010936,448.010936,-780.31003,780.31003,18771.67903,21228.32097
7,-524.891064,524.891064,-741.598072,741.598072,18733.51086,21266.48914
8,-332.776014,332.776014,-506.104456,506.104456,19161.11953,20838.88047
9,-597.387326,597.387326,-738.563824,738.563824,18664.04885,21335.95115
10,-441.090722,441.090722,-928.957592,928.957592,18629.95169,21370.04831
