M,p1_luck,p2_luck,p1_skill,p2_skill,p1_chips,p2_chips
1,-178.4544,178.4544,-100.1591,100.1591,19721.3865,20278.6135
2,-161.071,161.071,-77.7327,77.7327,19761.1963,20238.8037
3,-164.8729,164.8729,-97.6745,97.6745,19737.4526,20262.5474
4,-152.614,152.614,-65.5584,65.5584,19781.8276,20218.1724
5,-153.9497,153.9497,-67.8133,67.8133,19778.237,20221.763
6,-166.6244,166.6244,-93.4769,93.4769,19739.8987,20260.1013
7,-152.0809,152.0809,-85.4346,85.4346,19762.4845,20237.5155
8,-161.6256,161.6256,-86.4073,86.4073,19751.9671,20248.0329
9,-155.4464,155.4464,-55.1787,55.1787,19789.3749,20210.6251
10,-162.6303,162.6303,-71.2828,71.2828,19766.0869,20233.9131
