marly_luck,martin_luck,marly_skill,martin_skill,marly_chip,martin_chip,marly_gain,martin_gain
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
1459.79798,-1459.79798,1240.20202,-1240.20202,22700,17300,2700,-2700
100,-100,0,0,20100,19900,100,-100
135.1515152,-135.1515152,64.84848485,-64.84848485,20200,19800,200,-200
-142.3232323,142.3232323,-57.67676768,57.67676768,19800,20200,-200,200
-100,100,-200,200,19700,20300,-300,300
-145.3535354,145.3535354,-1654.646465,1654.646465,18200,21800,-1800,1800
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
107.1717172,-107.1717172,292.8282828,-292.8282828,20400,19600,400,-400
150.7070707,-150.7070707,449.2929293,-449.2929293,20600,19400,600,-600
139.1919192,-139.1919192,460.8080808,-460.8080808,20600,19400,600,-600
100,-100,100,-100,20200,19800,200,-200
100,-100,100,-100,20200,19800,200,-200
-317.2909091,317.2909091,-282.7090909,282.7090909,19400,20600,-600,600
147.4747475,-147.4747475,1652.525253,-1652.525253,21800,18200,1800,-1800
100,-100,0,0,20100,19900,100,-100
143.030303,-143.030303,56.96969697,-56.96969697,20200,19800,200,-200
101.010101,-101.010101,98.98989899,-98.98989899,20200,19800,200,-200
-100,100,-800,800,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
100,-100,100,-100,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
182.8282828,-169.7949495,1617.171717,-1630.205051,21800,18200,1800,-1800
-255.1515152,255.1515152,-344.8484848,344.8484848,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
256.0606061,-256.0606061,143.9393939,-143.9393939,20400,19600,400,-400
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
-8.88E-16,8.88E-16,0,0,20000,20000,0,0
148.7878788,-148.7878788,451.2121212,-451.2121212,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-147.4747475,147.4747475,-52.52525253,52.52525253,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-460.1010101,460.1010101,-1339.89899,1339.89899,18200,21800,-1800,1800
-141.8181818,141.8181818,-458.1818182,458.1818182,19400,20600,-600,600
-219.4,219.4,-2480.6,2480.6,17300,22700,-2700,2700
100,-100,0,0,20100,19900,100,-100
-144.7474747,144.7474747,-55.25252525,55.25252525,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
421.2121212,-421.2121212,-421.2121212,421.2121212,20000,20000,0,0
124.4444444,-89.24444444,1075.555556,-1110.755556,21200,18800,1200,-1200
-101.8181818,101.8181818,-798.1818182,798.1818182,19100,20900,-900,900
100,-100,200,-200,20300,19700,300,-300
-205.6565657,205.6565657,5.656565657,-5.656565657,19800,20200,-200,200
-3.55E-15,3.55E-15,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
